Date,Tweet
Wed Jun 24 20:56:18 PDT 2009,['@yukitea  its okay we replace it back with our fun fun fun fun memories!\n']
Wed Jun 24 20:56:18 PDT 2009,"[""@Trentopolis that's what happens when your wife gives up the green apron. sorry. \n""]"
Wed Jun 24 20:56:23 PDT 2009,['getting some sleep for once! no days off until wed \n']
Wed Jun 24 20:56:23 PDT 2009,"[""#infsum began today. i think if i can make it past the tennis stuff i'll be ok. but i have little interest in or knowledge of tennis \n""]"
Wed Jun 24 20:56:24 PDT 2009,['disappointed didnt see transformers today \n']
Wed Jun 24 20:56:24 PDT 2009,['@pookachino sucks she is having issues with the new place \n']
Wed Jun 24 20:56:25 PDT 2009,"['""@SFX_LADYJ Is not letting me log in.', ' so I can\'t comment  ""\n']"
Wed Jun 24 20:56:27 PDT 2009,['my internet is out. Againnnn. Eff u timewarner.  packing and stuff for ny.\n']
Wed Jun 24 20:56:30 PDT 2009,['@ddlovato wow demi i just saw some videos from the concert in PA yesterday i wish i could go to one of your concerts!! \n']
Wed Jun 24 20:56:30 PDT 2009,"['""@cmlh sorry mate I don\'t have a URL', ' I\'ve always been sent emails.  I didn\'t attend this year or last year.  ""\n']"
Wed Jun 24 20:56:31 PDT 2009,['&quot;Vir²L&quot; by The Black Dog is not NEARLY as awesome as I remember it being 17 years ago \n']
Wed Jun 24 20:56:32 PDT 2009,['@J23rd lol i actually wanted to wait until aft i graduated and further in japan b4 going.. but.. i lost to it  I WAN TO GO TIS YR!T.T\n']
Wed Jun 24 20:56:32 PDT 2009,"['""i hate feeling like shit 4 just getting out 4 a bit', ' i have been with the kids all day and my knee is killing me.  * * jamie * *""\n']"
Wed Jun 24 20:56:32 PDT 2009,"[""Bye bye guys. I'm leaving tomorrow. \n""]"
Wed Jun 24 20:56:33 PDT 2009,['Jess hijacked the TV \n']
Wed Jun 24 20:56:34 PDT 2009,"['""Just got back to Phoenix', ' already want out again ""\n']"
Wed Jun 24 20:56:35 PDT 2009,"['""@wendypalazzo Aw', "" that sucks  You couldn't have known"", ' though.""\n']"
