Date,Tweet,Country
Date,Tweet,Country
Date,Tweet,Country
Tue Apr 23 23:59:59 +0000 2019,b'@BriannaLashae_ Thanks sis \xf0\x9f\xa4\xaa\xf0\x9f\x92\x97!',"Orangeburg, SC"
Tue Apr 23 23:59:59 +0000 2019,b'@Grantfaulkner4 @TexasTea18 @MichaelAvenatti Due process requires a conviction. Indictment alone is not enough. Oth\xe2\x80\xa6 https://t.co/kyoofzibvo',"California, USA"
Tue Apr 23 23:59:59 +0000 2019,"b'Wind 0.0 mph ---. Barometer 30.03 in, Steady. Temperature 57.7 \xc2\xb0F. Rain today 0.00 in. Humidity 81%'","Petersburg, IL"
Tue Apr 23 23:59:59 +0000 2019,"b""Game 7! Let's go B's!! @ Ashwaubenon, Wisconsin https://t.co/hSlmyQRiPq""","Ashwaubenon, WI"
Tue Apr 23 23:59:59 +0000 2019,"b""@moorehead_agnes @TheDemocrats I don't need to read anything.  I've been raped and I know the facts.  So educate yo\xe2\x80\xa6 https://t.co/m4UohmYbuR""","Tennessee, USA"
Tue Apr 23 23:59:59 +0000 2019,b'I deserve a date with @Jared_Carrabis oh yes I do \xf0\x9f\xa4\x97 Sox game sometime? https://t.co/9oN35lPhfr',"Fishers, IN"
Tue Apr 23 23:59:59 +0000 2019,b'@CampusStuCo Go Kayleen! *From your 2nd grade teacher! You\xe2\x80\x99ve got my vote!',"Haysville, KS"
Tue Apr 23 23:59:59 +0000 2019,b'@MsAvaArmstrong Please don\xe2\x80\x99t come to Texas you\xe2\x80\x99re not welcome.',"Texas, USA"
Tue Apr 23 23:59:59 +0000 2019,b'@TheSportsHernia We\xe2\x80\x99re not colleagues. So it\xe2\x80\x99s cool.',"El Paso, TX"
Tue Apr 23 23:59:59 +0000 2019,"b'Wind 4.0 mph WNW. Barometer 29.994 in, Rising slowly. Temperature 56.2 \xc2\xb0F. Rain today 0.01 in. Humidity 70%'","Wapakoneta, OH"
Tue Apr 23 23:59:59 +0000 2019,b'How\xe2\x80\x99s this going https://t.co/7MCiegySNq',"Starkville, MS"
Tue Apr 23 23:59:59 +0000 2019,"b""I come thru the door like hey my love this man say hey bae, can u cook me something to eat I'm starving... damn ion\xe2\x80\xa6 https://t.co/FRW5T2XYLY""","Chicago, IL"
Tue Apr 23 23:59:59 +0000 2019,b'@benshapiro You look just like Damian from The Omen',"Midland, MI"
Tue Apr 23 23:59:59 +0000 2019,b'@Alvildalikely #YourMom',"Casper, WY"
Tue Apr 23 23:59:59 +0000 2019,"b'@BaseballBallard @kelan_xs Hmm, I wonder who was playing for @BaseballBallard 25 years ago...?!? #JeezImOld'","Renton, WA"
Tue Apr 23 23:59:59 +0000 2019,b'Idk why people justify their actions based on their zodiac sign',"New London, CT"
Tue Apr 23 23:59:59 +0000 2019,"b'Sours beers are taking over our taps Friday May 3rd! Some of the draft selections include Cantillon Nath, Duchesse\xe2\x80\xa6 https://t.co/TJDvbmMMpZ'","Walnut Creek, CA"
Tue Apr 23 23:59:58 +0000 2019,b'Pretty crazy that 4.7% of San Francisco\xe2\x80\x99s GDP is based on people paying to not have to walk up hills',"San Francisco, CA"
Tue Apr 23 23:59:58 +0000 2019,b'Maaannnn https://t.co/MCzQeSVsQx',"Cedar Hill, TX"
Tue Apr 23 23:59:58 +0000 2019,"b'@aarondchavez_ Kaso december pa ata labas nung game, detective pikachu na muna \xf0\x9f\x98\x82'","Oxnard, CA"
Tue Apr 23 23:59:58 +0000 2019,b'@DonaldJTrumpJr Quit poking the bear lady...just fizzle out of the spotlight!',"Woodlawn, OH"
Tue Apr 23 23:59:58 +0000 2019,"b'Career tip for landing jobs like ""RN - Wound Care"" in McMinnville, OR. Go on informational interviews. The best way\xe2\x80\xa6 https://t.co/1zWCqx6M5k'","McMinnville, OR"
Tue Apr 23 23:59:58 +0000 2019,b'https://t.co/kuz4AjbCGo',"Candler-McAfee, GA"
Tue Apr 23 23:59:58 +0000 2019,"b""We're hiring in #Fresno, CA! Click the link in our bio to apply to this job and more: Travel Med Surg RN at Supplem\xe2\x80\xa6 https://t.co/SPLKvvVDb7""","Fresno, CA"
Tue Apr 23 23:59:58 +0000 2019,b'@dc_yenny wrote the recent analysis good read - https://t.co/TlPC55QSTb',"Rockville, MD"
Tue Apr 23 23:59:58 +0000 2019,b'@AdvanzeedGear Done.\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',"Newark, OH"
Tue Apr 23 23:59:58 +0000 2019,b'@amullins_53 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',"Virginia, USA"
Tue Apr 23 23:59:58 +0000 2019,b'@blckriflecoffee @DagonApparel New ideas in fish food',"Wildwood, FL"
Tue Apr 23 23:59:58 +0000 2019,b'Positive vibes always \xf0\x9f\x98\x81 | passportmia @shhmiami @ Shh Miami https://t.co/UF7pQzpAp7',"Miami Beach, FL"
Tue Apr 23 23:59:58 +0000 2019,b'I\xe2\x80\x99ll never forget when Brandon mama heard Chance the Rapper and asked if that was DL Hughley.',"South Carolina, USA"
