Date,Tweet
Thu May 28 20:34:52 PDT 2009,['I love dead phones! Hip hip hurray...not \n']
Thu May 28 20:34:52 PDT 2009,['no more weave  i Wish my Hair Grew Fast\n']
Thu May 28 20:34:53 PDT 2009,"['""@83degrees i love power twitter', ' but since installing the latest version', ' links no longer show up as links.  they aren\'t clickable.  ""\n']"
Thu May 28 20:34:53 PDT 2009,"[""@UR_AY_GAS I might if my doggies had one friendly bone in their bodies for other dogs.  They've both been attacked by big doggies. \n""]"
Thu May 28 20:34:55 PDT 2009,"['""Just reading that Vic Davies', ' ex Triple M \'Club Veg\' battling lung cancer. ""\n']"
Thu May 28 20:34:58 PDT 2009,['so effing tired...air repair ppl here @ 9am tomorrow. MUST finish ch. 2 tomorrow to start paper due monday. So far I hate this class. \n']
Thu May 28 20:35:00 PDT 2009,"['""Not gonna lie', ' tonight I was half watching', "" just wasn't into it"", ' and I\'m starting to feel sick  good game though.""\n']"
Thu May 28 20:35:04 PDT 2009,['@ayeedrian oh im sorrrrry  we still doing the video..;\n']
Thu May 28 20:35:04 PDT 2009,['His girlfriend broke up with him \n']
Thu May 28 20:35:07 PDT 2009,['@sheridamn Ouch... \n']
Thu May 28 20:35:07 PDT 2009,"[""lol why I can't sign up on YouTube? \n""]"
Thu May 28 20:35:08 PDT 2009,['Way to go Magic  3-2 now on to Game 6 in Orlando and hopefully not Game 7\n']
Thu May 28 20:35:10 PDT 2009,['Everyone in the fucking world decided to do laundry today. Every gas station/liquor store is out of quarters \n']
Thu May 28 20:35:10 PDT 2009,['@jaaacckkkkk haha i was just laughing at what britt was saying to you and yeah it does suck. esp cause i prob wont go sleep till 11 \n']
Thu May 28 20:35:11 PDT 2009,"['""@acraig426 awesome. are you going to buy yours soon', ' then? also', ' $229 only gets you the 8gig ipod! i have more music than that ""\n']"
Thu May 28 20:35:13 PDT 2009,['@piemonte Crap...I leave San Francisco Thursdsay morning. \n']
Thu May 28 20:35:13 PDT 2009,"[""0ur boss just called. C0mpany dinner s postponed 2nyt  he also wants us 2 get OL &amp; answer d issues. Work while on vacati0n. Dat's unco0l\n""]"
Thu May 28 20:35:16 PDT 2009,['My dog just got out of surgery and it breaks my heart to see her like this \n']
Thu May 28 20:35:16 PDT 2009,"[""Trying to figure out Blogspot. Uggg.  I don't know which end is up \n""]"
Thu May 28 20:35:18 PDT 2009,['@V_nkotbgirl me either busy at work \n']
