Date,anger,sadness,fear,joy,surprise
6/7/2018,0.233291427,0.293652033,0.171257923,0.192464108,0.109334509
6/8/2018,0.226279438,0.303626761,0.173978359,0.184439989,0.111675454
6/9/2018,0.234198143,0.296303614,0.160638517,0.179437627,0.129422099
6/10/2018,0.202465442,0.308512908,0.168803692,0.192759989,0.127457969
6/11/2018,0.206901549,0.298778994,0.181386971,0.195893413,0.117039074
6/12/2018,0.20727463,0.311305425,0.201423043,0.177026996,0.102969906
6/13/2018,0.200964221,0.306881299,0.199188465,0.186932035,0.106033981
6/14/2018,0.206523383,0.295731658,0.171775498,0.202769544,0.123199918
6/15/2018,0.19717384,0.291242976,0.180816198,0.213018828,0.117748158
6/16/2018,0.216114214,0.305989788,0.157471035,0.1861595,0.134265462
6/17/2018,0.210678348,0.326725666,0.153207567,0.18617897,0.123209449
6/18/2018,0.194632557,0.312657855,0.171176353,0.208609086,0.112924148
6/19/2018,0.202261627,0.305263347,0.166985799,0.201912634,0.123576593
6/20/2018,0.194257955,0.306483308,0.159209319,0.208384777,0.131664641
6/21/2018,0.184263264,0.319283829,0.170466124,0.204108345,0.121878437
6/22/2018,0.192325486,0.340704833,0.148855816,0.195383647,0.122730219
6/23/2018,0.198167481,0.3718068,0.129435284,0.186168529,0.114421906
6/24/2018,0.181358684,0.366536579,0.130128956,0.196654958,0.125320823
6/25/2018,0.185585073,0.348508037,0.151067686,0.200858262,0.113980942
6/26/2018,0.194517322,0.350693812,0.139624979,0.200943235,0.114220651
6/27/2018,0.199321812,0.361409031,0.13311174,0.191062483,0.115094934
6/28/2018,0.201873128,0.338787687,0.150440877,0.194478364,0.114419944
4/22/2019,0.133750921,0.276668062,0.210724864,0.229085423,0.149770729
4/23/2019,0.205005877,0.274597476,0.233473913,0.168534917,0.118387816
4/24/2019,0.178479337,0.259389782,0.216353003,0.217908807,0.127869071
4/25/2019,0.197627748,0.267872606,0.248139746,0.167936364,0.118423536
4/26/2019,0.192416052,0.278311734,0.237844307,0.171071586,0.120356321
4/27/2019,0.183795482,0.279406438,0.232334717,0.180371709,0.124091654
4/28/2019,0.209734126,0.270699099,0.223362351,0.1691722,0.127032224
4/29/2019,0.154314982,0.262515532,0.242559951,0.205673468,0.134936068
4/30/2019,0.202471201,0.265340805,0.242221073,0.166506671,0.12346025
5/1/2019,0.192161495,0.268490648,0.234683974,0.190772335,0.113891549
5/2/2019,0.188597332,0.275539164,0.244003438,0.174305318,0.117554748
5/3/2019,0.180293572,0.258069409,0.241130589,0.202515235,0.117991196
5/4/2019,0.178629859,0.280511321,0.213493827,0.20940632,0.117958673
5/5/2019,0.180512556,0.269972605,0.221338669,0.196281494,0.131894676
5/6/2019,0.160306063,0.24188841,0.228004788,0.212730404,0.157070336
5/7/2019,0.194887045,0.263828573,0.230114683,0.176370185,0.134799515
5/8/2019,0.192985521,0.289768838,0.211828093,0.17523533,0.130182219
5/9/2019,0.190646038,0.256165758,0.226853855,0.197310928,0.129023422
5/10/2019,0.192881131,0.268311032,0.231186307,0.185278816,0.122342714
5/11/2019,0.181329312,0.266235814,0.219644488,0.208032883,0.124757503
5/12/2019,0.183063068,0.277235015,0.217720888,0.196832485,0.125148545
5/13/2019,0.207201982,0.262370594,0.248618913,0.15722007,0.124588442
5/14/2019,0.19891107,0.281636178,0.229606774,0.17118955,0.118656429
5/15/2019,0.19043548,0.261142115,0.235187578,0.188448682,0.124786145
5/16/2019,0.199381283,0.279603385,0.230890433,0.174581954,0.115542944
5/17/2019,0.176680654,0.264339736,0.228202234,0.208995334,0.121782043
5/18/2019,0.183789038,0.271181823,0.239270772,0.183374957,0.122383411
5/19/2019,0.198044259,0.283543628,0.221443105,0.177217776,0.119751233
5/20/2019,0.177283966,0.260038433,0.237586869,0.198362786,0.126727946
5/21/2019,0.207508406,0.274255204,0.223033394,0.166142794,0.129060201
5/22/2019,0.207710213,0.265698083,0.235458342,0.169839259,0.121294103
5/23/2019,0.195043624,0.276998005,0.23430231,0.170738592,0.12291747
5/24/2019,0.198638659,0.268437535,0.232719767,0.179112007,0.121092033
5/25/2019,0.18758815,0.268110913,0.228744801,0.193807094,0.121749042
2019-05-26,0.1966839480287798,0.2957395578988354,0.20954149369802758,0.17453289388384838,0.12350210649050884
2019-05-27,0.17768837259477493,0.2749920729425583,0.220737576411283,0.20279799129425805,0.1237839867571257
2019-05-28,0.18364326819949395,0.2660306006977627,0.22546755521219847,0.1961889048356283,0.1286696710549166
2019-05-29,0.2088193602764548,0.2689316424710423,0.22152266548043217,0.18074437572156124,0.11998195605050949
2019-05-30,0.19114309513129366,0.274733672583481,0.23173109457412044,0.1849905574665414,0.11740158024456346
