Date,anger,sadness,fear,joy,surprise
2019-04-22,0.18417712908434486,0.2623136616229073,0.22107114527475955,0.176529079888645,0.15590898412934326
2019-04-23,0.18875027826406146,0.2669260955722717,0.2348936713925907,0.18095446553374622,0.1284754892373299
2019-04-24,0.1927269135106143,0.27757820599307914,0.22965469126322552,0.1817098019108447,0.11833038732223632
2019-04-25,0.18536928483273524,0.26806576993866227,0.23332654788689558,0.19449216140795703,0.11874623593374987
2019-04-26,0.17388320847248204,0.2607126237942416,0.22130433076350559,0.20611229573497464,0.13798754123479617
2019-04-27,0.1783835529070751,0.2541901647244695,0.22205230161860592,0.20384397763275552,0.14153000311709396
2019-04-28,0.17992732601604125,0.2805366513771122,0.21496397920035162,0.1791975550141599,0.14537448839233508
2019-04-29,0.17898133702646957,0.2492593735510055,0.2086645138263668,0.2020432214210676,0.16105155417509054
2019-04-30,0.19966125360186296,0.24154007136699232,0.24823481537346115,0.18589817762974187,0.12466568202794173
2019-05-01,0.1716588254747426,0.2532859090244713,0.2025190241250586,0.23926290816932508,0.1332733332064024
2019-05-02,0.178895273906791,0.2615660696038398,0.23636110495028056,0.17903360005853314,0.1441439514805555
2019-05-03,0.16820690780652844,0.268026914473869,0.22313179801101593,0.20125221118324055,0.1393821685253461
2019-05-04,0.20222185446978938,0.2911827518288939,0.23485956871736532,0.14271947903668436,0.12901634594726705
2019-05-05,0.17371931677017988,0.274585333858175,0.23701499813734608,0.18674328843213198,0.12793706280216705
2019-05-06,0.19085951872108126,0.25016893215188213,0.21696286346734378,0.23569765219107092,0.10631103346862189
