Date,Tweet
Date,eet',Country
Tue May 07 09:10:20 +0000 2019," He definitely gives good advice'""","Sparks, NV"
Tue May 07 09:10:19 +0000 2019,"4 o\ clock in the morning and me and my daughter still turnt up'""","Clinton, OK"
Tue May 07 09:10:19 +0000 2019,,Braille Institute Of America Student Building
Tue May 07 09:10:19 +0000 2019,#NewProfilePic #welcomeback #allowmetoreintroducemyself ,Grand Central Terminal
Tue May 07 09:10:19 +0000 2019," *sunday'""","Altadena, CA"
Tue May 07 09:10:19 +0000 2019,About to take a hot ass shower to wake me up more\,"Washington, DC"
Tue May 07 09:10:18 +0000 2019,HAHAHAHAHAHA ,"Columbus, OH"
Tue May 07 09:10:18 +0000 2019,"Cleared: Construction on #NY231 Both directions at Northern State Parkway; Ramp'""","Dix Hills, NY"
Tue May 07 09:10:18 +0000 2019,Who the hell is \ Palestinians\ You\ an employee of the Federal Govt! Remember this Americans that voted for\ ,"East Lake, FL"
Tue May 07 09:10:17 +0000 2019,"  Iconic Moment we just witness'""","Los Angeles, CA"
Tue May 07 09:10:17 +0000 2019,"#GoodMorning'""","Bronx, NY"
Tue May 07 09:10:17 +0000 2019,"Do you suffer from #SolarEnvy? Well, suffer no more! \\n\\nCome join      of Flor\ ","Thonotosassa, FL"
Tue May 07 09:10:17 +0000 2019," Where is the end destination? Because you keep going and going through the East Coast \ lol'""","Anaheim, CA"
Tue May 07 09:10:16 +0000 2019,"My all time BFF comes home this week and is sleeping over and truly guys I cannot help but cry about it'""","New York, USA"
Tue May 07 09:10:15 +0000 2019,Happy 20th birthday big ol\ booty \ I love you you beautiful creature. Have a great bday MONTH b! \  ,"Dallas, TX"
Tue May 07 09:10:15 +0000 2019,"An old photograph of mine. The kind of mornings I love.   now I use a RRS ballhead, more a\ ",Belmar Boardwalk
Tue May 07 09:10:15 +0000 2019," Great seeing you yesterday Noel!'""","Virginia, USA"
Tue May 07 09:10:14 +0000 2019," \ lol been a stressful few days bruh'""","Virginia Beach, VA"
Tue May 07 09:10:14 +0000 2019," You figured it out'""","Houston, TX"
Tue May 07 09:10:13 +0000 2019,I never go here because the parking lot is always full \ \ but now it is 5am and I walked.. \ @ CHiT CHaT West Oran\ ,"West Orange, NJ"
Tue May 07 09:10:12 +0000 2019," Friend <3'""","Terre Haute, IN"
Tue May 07 09:10:11 +0000 2019,"I guess I just won\'t sleep LMAO that\'s fine""'","Indiana, USA"
Tue May 07 09:10:11 +0000 2019," \ that\ the sweetest thing. My Mom lives in the same town as me and doesn\ even do that. You have an awesome family Tati.'""","Virginia, USA"
Tue May 07 09:10:11 +0000 2019,"I saw somebody say lil Wayne\ rebirth aged well. I strongly disagree this album is still pretty bad lol'""","East Islip, NY"
Tue May 07 09:10:11 +0000 2019,I really dislike you ,"Portland, OR"
Tue May 07 09:10:11 +0000 2019," Hahahhahahahhahahahahha'""","Lawndale, CA"
Tue May 07 09:10:10 +0000 2019, Presents NEW Monthly Drag Brunch Buffet- LEGACY!Join Us To Close Out USQ Weekend W/ Royalty Maya Do\ ,Hyatt Centric Waikiki Beach
Tue May 07 09:10:08 +0000 2019,Many reasons to smile \ ,"Manhattan, NY"
Tue May 07 09:10:08 +0000 2019,I\ just decided I\ getting one of these press printed or airbrushed onto a shirt so I can commemorate this exper\ ,"Addison, TX"
Tue May 07 09:10:08 +0000 2019," ahhh bitch \ I leave subday'""","Altadena, CA"
Tue May 07 09:10:08 +0000 2019, I see McD Ketchup in your future ,"Oak Brook, IL"
Tue May 07 09:10:08 +0000 2019,Hey this could of worked also with the cohort if we were all in #googleclassroom  ,"Balmville, NY"
Tue May 07 09:10:07 +0000 2019,4232 North Melvina Avenue ,"Chicago, IL"
Tue May 07 09:10:07 +0000 2019,They Hate You Then They Love You Then They Hate You Again \,"Richmond, VA"
Tue May 07 09:10:06 +0000 2019,  \ \ \,United States
Tue May 07 09:10:06 +0000 2019,"Pierre R. Bonne-Annee, the Naples Realtor you need on your side. Contact him now at (239) 206-6781 and you\ be gl\ ","Haines City, FL"
Tue May 07 09:10:06 +0000 2019," Woop-Dee-Doo, good for you ","Houston, TX"
Tue May 07 09:10:06 +0000 2019,"Do you remember your favorite teacher? I do! Dr. Wade, Mr. Kobus, Dr. Washington and Dr. Kuehn... Thank you!!!\ ","Cleveland, OH"
Tue May 07 09:10:04 +0000 2019,Mama pls where\ ur dragon? ,"Maplewood, NJ"
Tue May 07 09:10:03 +0000 2019,"#PiratesDareToBeGreat #PiratePride \\n#piratesforlife\ Children are incredible gifts to be cherished, nurtured, educ\ ","Berea, KY"
Tue May 07 09:10:02 +0000 2019,"TEST_LAT/LON: 5f5f4dba-8c89-43f9-8072-520b148a4fca'""","San Francisco, CA"
Tue May 07 09:10:01 +0000 2019," I\ just really fucking good at happy birthday Facebook posts, I guess. That said, excited for when you do find your person!'""","Queens, NY"
Tue May 07 09:10:01 +0000 2019,Hey thanks everyone for coming out and rockin with us at Motown Monday\'s s*** was smashing!!  @ Madrone Art\ ,"San Francisco, CA"
Tue May 07 09:10:00 +0000 2019, Snapchat:::kushorder \\n7204775580 ,"California, PA"
Tue May 07 09:09:58 +0000 2019," I\ finna DM you'""","Montgomery, AL"
Tue May 07 09:09:58 +0000 2019,"Wettbewerbsf\ Rahmenbedingungen statt staatlicher Eingriffe und Protektionismus, American Chamber of Commerce i\ ","Washington, DC"
Tue May 07 09:09:57 +0000 2019," Is it Snowing \\nIs it ICING\\nIs it Winter\\nThe United States of SNOWING\\nMitt Romney stops by, Must be A M\ ","Manhattan, NY"
Tue May 07 09:09:57 +0000 2019,"Interested in a job in #StLouis, MO? This could be a great fit:  #Healthcare'""","St Louis, MO"
Tue May 07 09:09:55 +0000 2019,Why ,"Birmingham, AL"
Tue May 07 09:09:54 +0000 2019,Bernie is a fraud and a grifter. ,"Elkins, WV"
Tue May 07 09:09:53 +0000 2019,We in there ,"Virginia Beach, VA"
Tue May 07 09:09:52 +0000 2019,"These allergies kicking my ass.'""","Columbus, OH"
Tue May 07 09:09:51 +0000 2019, Ag\ mira o Altamira \ Plata\,"Bronx, NY"
Tue May 07 09:09:51 +0000 2019,"Can\ sleep knowing I gotta be in court in a few hours'""","Goose Creek, SC"
Tue May 07 09:09:50 +0000 2019,big 4\ ,"Pensacola, FL"
Tue May 07 09:09:50 +0000 2019,she sang this with her fckin SOUL ,"Palmdale, CA"
Tue May 07 09:09:50 +0000 2019,"Today\'s Verse \\nPsalms 118:24\\n24. This is the day which the LORD hath made; we will rejoice and be glad in it.""'","Dracut, MA"
Tue May 07 09:09:49 +0000 2019," So the antisemites of the Daily Caller are concerned?'""","Whitesboro, NY"
Tue May 07 09:09:48 +0000 2019," That mentality has to stop. You can\ get a BA from a community college so one must got to a university in order to get it.'""","Long Beach, CA"
Tue May 07 09:09:48 +0000 2019,"Mama gotta get around efficiently this summer.'""","Paradise, NV"
Tue May 07 09:09:48 +0000 2019, Well done! \ Congratulations! \,"Massachusetts, USA"
Tue May 07 09:09:48 +0000 2019,Late...\ ,"Brockton, MA"
Tue May 07 09:09:48 +0000 2019,Long late night Over thinking. I\'m done looking for a replacement to the irreplaceable. Just gonna live. Hope you d\ ,"Opelika, AL"
Tue May 07 09:09:47 +0000 2019,It\ my senior year and I\ not going to prom so \ ,"San Francisco, CA"
Tue May 07 09:09:46 +0000 2019," Whoa'""","Georgia, USA"
Tue May 07 09:09:45 +0000 2019,"That\ what I want for my birthday... a massage'""","Mississippi, USA"
Tue May 07 09:09:44 +0000 2019,"'""Successful people do what unsuccessful people are not willing to do. Don\\\'t wish it were easier; wish you were bett\ ","Omaha, NE"
Tue May 07 09:09:42 +0000 2019," Allah fa\ ve h\ devletinin cezas\ versin.'""","Casas Adobes, AZ"
