Date,Tweet
Date,eet',Country
Thu Jun 13 08:55:41 +0000 2019,  I just finished my junior year and it was one of the shittiest years of my life because\ ,"Ladera Heights, CA"
Thu Jun 13 08:55:41 +0000 2019,I\ noticed a bunch of ex FBI on TV talking about things with regards to the AG Barr investigation as if rank and\ ,"Seven Oaks, SC"
Thu Jun 13 08:55:41 +0000 2019,,"Orangeburg, SC"
Thu Jun 13 08:55:40 +0000 2019,"Cheating on a good woman is like throwing away a diamond and picking up a rock.'""","Vacaville, CA"
Thu Jun 13 08:55:40 +0000 2019,Lmao damn why he walk in like somebody daddy \ ,"Texas, USA"
Thu Jun 13 08:55:39 +0000 2019,Loved opening up the  #NewRules forum with these brilliant women. ,"Queens, NY"
Thu Jun 13 08:56:01 +0000 2019,"I think i wanna marry you'""","Portland, TX"
Thu Jun 13 08:56:00 +0000 2019,Just because you\ do it for them Doesn\ mean they\ do it for you \,"Deer Park, TX"
Thu Jun 13 08:56:00 +0000 2019,  You\ going to do amazing. Don\ worry \,"Ladera Heights, CA"
Thu Jun 13 08:56:00 +0000 2019,Really finna stop smokin \,"Mississippi, USA"
Thu Jun 13 08:56:00 +0000 2019,    I knew immediately that wasn\ his sister . Alex sure as hell didn\ ,"Redondo Beach, CA"
Thu Jun 13 08:55:59 +0000 2019,Still on Cali time\,"Columbus, OH"
Thu Jun 13 08:55:59 +0000 2019,"  I do like the \'spread\', it allows for plenty of room for me to be able to serve Him as\ ","Tampa, FL"
Thu Jun 13 08:55:58 +0000 2019,"  Check the level of vice chancellor.. Must be honorary.. Cos of alliance with jews.'""","Fort Worth, TX"
Thu Jun 13 08:55:58 +0000 2019," Was more than 10 ranks under us. It wouldn\ have gave us enough pts. In the AP anyway.'""","Ohio, USA"
Thu Jun 13 08:55:58 +0000 2019," Unexcepltible to say the least.'""","Millcreek, UT"
Thu Jun 13 08:55:58 +0000 2019, Podria ser posible que nos echara la mano..para esta se\ ,"Bronx, NY"
Thu Jun 13 08:55:57 +0000 2019," Aww'""","Vacaville, CA"
Thu Jun 13 08:55:57 +0000 2019,"  Same here'""","Louisa, KY"
Thu Jun 13 08:55:57 +0000 2019, DID YOU FAINT!?! ,"Chicago, IL"
Thu Jun 13 08:55:57 +0000 2019,"temperature down 68\ -> 62\ up 72% -> 82%\\nwind 11mph -> 3mph'""","South Gate, CA"
Thu Jun 13 08:55:56 +0000 2019," Count the number of his farts'""","Sun City, CA"
Thu Jun 13 08:56:20 +0000 2019," u just sound dumb'""","Gilbert, AZ"
Thu Jun 13 08:56:20 +0000 2019,#\ #2019BTSFESTA #6YearsWithBTSOurHome #6YearsWithLuv #BTS6thAnniversary \ ,"Dixmoor, IL"
Thu Jun 13 08:56:20 +0000 2019,#ThursdayMotivation ,"Raleigh, NC"
