Date,Tweet
Date,eet',Country
Fri Jun 28 23:59:59 +0000 2019," I think she\ so this role justice.'""","Jersey City, NJ"
Fri Jun 28 23:59:59 +0000 2019," Exactly, she put me through private school and college and he couldn\ even contribute $90 a month. Tragic !'""","Baltimore, MD"
Fri Jun 28 23:59:59 +0000 2019,New glasses came in... ,"Phoenix, AZ"
Fri Jun 28 23:59:59 +0000 2019,"Just a reminder y\ don\ get lost in the sauce'""","Marathon, FL"
Fri Jun 28 23:59:59 +0000 2019,Le dije que lo sent\ pero que no iba poder ayudarle est\ vez... Me dej\ en le\ y no me contest\,"Los Angeles, CA"
Fri Jun 28 23:59:59 +0000 2019,lovely \ ,"Naperville, IL"
Fri Jun 28 23:59:59 +0000 2019,"  Liz Phair?'""","Montpelier, VT"
Fri Jun 28 23:59:58 +0000 2019," Congrats'""","New Orleans, LA"
Fri Jun 28 23:59:58 +0000 2019,"'Me escribi\ una ""amiga"" pidi\ que la ayudara econ\ (hace un tiempo le ayude para el baby shower de su\ ","Los Angeles, CA"
Fri Jun 28 23:59:58 +0000 2019,  Paper straws don\ work in plastic cups with lids that are cut sharply to insert paper\ ,"Florida, USA"
Fri Jun 28 23:59:58 +0000 2019,"  If you \ far left\ just to be nominated, then abandon those ideals once the nominatio\ ","Minneapolis, MN"
Fri Jun 28 23:59:58 +0000 2019," My pleasure!!! Looking forward to a long friendship !!!'""","San Antonio, TX"
Fri Jun 28 23:59:58 +0000 2019,I want to get my eyebrows done but the ladies know I\ a fag and give me the most fag brows despite saying \ clean them up\,"Huntington Beach, CA"
Fri Jun 28 23:59:58 +0000 2019,"SUPER EXCITED, BEST SUPERHERO IN THE MARVEL UNIVERSE @ ME!!!!! But Toby is still the boi. ","Los Angeles, CA"
Fri Jun 28 23:59:58 +0000 2019, LMAOOOOO ,"Euless, TX"
Fri Jun 28 23:59:58 +0000 2019," You know it.  It\ cool but I\ not a mana fan.'""","Arvada, CO"
Fri Jun 28 23:59:58 +0000 2019,So excited to see my first  game at #PrincipalPark! ,Principal Park
Fri Jun 28 23:59:58 +0000 2019,"Ready to slap a nigga'""","Dallas, TX"
Fri Jun 28 23:59:58 +0000 2019," ubaaan daaaai!! uban taaa dghan man miii e introduce takaaa'""","Lake Success, NY"
Fri Jun 28 23:59:58 +0000 2019,"Proudest moment of my life was deliberately popping my tire to get out of work, I really finessed ","Alaska, USA"
Fri Jun 28 23:59:58 +0000 2019,"  Lmao i smell a lawsuit or closing their buisness #Karma'""","Corpus Christi, TX"
Fri Jun 28 23:59:58 +0000 2019,Way to go Girls!   girls U 17\\nKilling it!  Heading to Finals tomorrow! #usrowing #rowlikeagirl\ ,"Philadelphia, PA"
Fri Jun 28 23:59:58 +0000 2019,"Treadmill time for my 10K-A-Day challenge (@ The Party Room And Gym in Cherry Hill, NJ) ","Cherry Hill Mall, NJ"
Fri Jun 28 23:59:58 +0000 2019,My new best friend Humphrey! #leonberger #onset #photoshoo #doggylovers @ Huske ,"Fayetteville, NC"
Fri Jun 28 23:59:58 +0000 2019,When at The Seelbach have the namesake cocktail. @ The Old Seelbach Bar ,"Louisville, KY"
Fri Jun 28 23:59:58 +0000 2019,Still pretty excited about this! ,"Somerville, MA"
Fri Jun 28 23:59:58 +0000 2019,"Accident, right lane blocked in #Dekalb on I 20 EB after Wesley Chapel Rd #ATLTraffic ","Georgia, USA"
Fri Jun 28 23:59:57 +0000 2019,#ghost #darkside ,"Tampa, FL"
Fri Jun 28 23:59:57 +0000 2019,News21 in a tweet ,"Druid Hills, GA"
Fri Jun 28 23:59:57 +0000 2019,"No, actually I have a life. And it wasn\'t relevant because the house bill was not the one that passed. You my dear\ ","Houston, TX"
Fri Jun 28 23:59:57 +0000 2019, \,"Celina, OH"
Fri Jun 28 23:59:57 +0000 2019," If you want to prove Stu right...'""","Egypt Lake-Leto, FL"
Fri Jun 28 23:59:57 +0000 2019,Just show me something real and I gotchu baby\,"Cleveland, OH"
Fri Jun 28 23:59:57 +0000 2019,Queen Flash free concert. By the smell of the park we shouldn\ worry about any mosquitoes #bugspray @ North Park A\ ,"Springboro, OH"
Fri Jun 28 23:59:57 +0000 2019,Hol on breezy \ ,"Dallas, TX"
Fri Jun 28 23:59:57 +0000 2019, just trying to watch #babyshark with my kid and your ad popped up! Perfect ad targeting via YouTube\ ,"Washington, DC"
Fri Jun 28 23:59:57 +0000 2019, sooo you retweeting things like this on the tl huh? ,"Monroe, LA"
Fri Jun 28 23:59:57 +0000 2019,"So I\ been dealing with this broken pinky toe since last Saturday \\n\\nMost. Annoying. Shit. Ever. Lol'""","Horsham, PA"
Fri Jun 28 23:59:56 +0000 2019," good things come to those who wait. Glad I found my soul mate after being \ picky\ for 10 years'""","Indiana, USA"
Fri Jun 28 23:59:56 +0000 2019,Watson > wentz and u can\ even argue it anymore ,"Philadelphia, PA"
Fri Jun 28 23:59:56 +0000 2019," Working on the bronze body lol'""","Myrtle Beach, SC"
Fri Jun 28 23:59:56 +0000 2019, Reliving my youth \,"Durham, NC"
Fri Jun 28 23:59:56 +0000 2019," Holy hell.. sounds like a damn good time'""","Texas, USA"
Fri Jun 28 23:59:56 +0000 2019,"Surrealists be like: \\n\\nWhat if dreams,,,are good? \","University City, MO"
Fri Jun 28 23:59:56 +0000 2019,"New York City declares a climate emergency, the first US city with more than a million residents to do so: ","Brooklyn, NY"
Fri Jun 28 23:59:56 +0000 2019," Foolish'""","Lake City, TN"
Fri Jun 28 23:59:56 +0000 2019,Whatever make you feel good do that shit\,"Dallas, TX"
Fri Jun 28 23:59:56 +0000 2019, Rapinoe has accomplished multiple times in the international arena what Trump has yet to - winning. Not\ ,"Cle Elum, WA"
Fri Jun 28 23:59:56 +0000 2019,"The way in which the Lord is providing for  & our new plant, Lakeside Bible Church in Cornelius, is\ ","Concord, NC"
Fri Jun 28 23:59:56 +0000 2019,"Every time  and I link, we spend unnecessary money \","Eugene, OR"
Fri Jun 28 23:59:55 +0000 2019," How ignorant'""","Huntington, WV"
Fri Jun 28 23:59:55 +0000 2019,I\'ll never forget when Crouch got that pass against OU and me being  the most excited I\'ve ever been then scared be\ ,"Waverly, NE"
Fri Jun 28 23:59:55 +0000 2019,I\ glad somebody understand ,"Indianapolis, IN"
Fri Jun 28 23:59:55 +0000 2019," Not a bad back-up plan!'""","El Cajon, CA"
Fri Jun 28 23:59:55 +0000 2019,I\'d sell him for \ and a bag of Doritos. ,"Chicago, IL"
Fri Jun 28 23:59:55 +0000 2019,"' my sitcom habit? Been rewatching ""Wings"" for the first time in a long time. Also, never saw ""Growing Pains"" till now.\''","Phoenix, AZ"
Fri Jun 28 23:59:55 +0000 2019,"Made it @ San Francisco, California ","San Francisco, CA"
Fri Jun 28 23:59:55 +0000 2019, It\'s not that serious. ,"Pittsburg, KS"
Fri Jun 28 23:59:55 +0000 2019," sadbois and sadgirls are the wave'""","Manhattan, NY"
Fri Jun 28 23:59:55 +0000 2019,"  On god i was like whatttt\ you know we 4L gang.'""","Atlanta, GA"
Fri Jun 28 23:59:55 +0000 2019,It is like being in an abusive family. \ you dare notice that elephant in the room. There\ no elephant. Are y\ ,"St Louis, MO"
Fri Jun 28 23:59:55 +0000 2019,   Are you crazy. It\'s called Jealousy. Everybody wish they could be President Tr\ ,"Georgia, USA"
Fri Jun 28 23:59:54 +0000 2019,"going to Alger Alp anyone need any thing'""","Bellingham, WA"
Fri Jun 28 23:59:54 +0000 2019," Trump would flick his index finger up Bernie\'s nose""'","Goodyear, AZ"
Fri Jun 28 23:59:54 +0000 2019,2k need they ass beat for this shit \ ,"Pomona, CA"
Fri Jun 28 23:59:54 +0000 2019,"Won the world cup, all 300 people celebrate.  No one cares ","Denver, CO"
Fri Jun 28 23:59:54 +0000 2019," U were just horny'""","Anna Maria, FL"
Fri Jun 28 23:59:54 +0000 2019,I\ gon keep quiet @ Frog Alley Lot ,"Delray Beach, FL"
Fri Jun 28 23:59:54 +0000 2019,Armchair Expert! @ The Chicago Theatre ,"Chicago, IL"
Fri Jun 28 23:59:54 +0000 2019,"'I\\\'m sorry to my progressive friends. This is fucking crazy and u supporting this without caps smfh #done \\n""All cand\ ","Manhattan, NY"
Fri Jun 28 23:59:54 +0000 2019,"I don\ even use slang like that \ FAF!'""","Osceola, AR"
Fri Jun 28 23:59:54 +0000 2019,Lots of great items like this on tomorrow\ silent auction!  #EmilysHope ,"Minnesota, USA"
