Date,Tweet
Date,eet',Country
Fri Apr 26 23:59:59 +0000 2019, The French scene and the paint dress \,"Marietta, GA"
Fri Apr 26 23:59:59 +0000 2019," They\ about to take greedy!'""","Monroe, MI"
Fri Apr 26 23:59:59 +0000 2019,"Walah espn aint shit without stephen a smith'""","Brooklyn, NY"
Fri Apr 26 23:59:59 +0000 2019,     Knew that game face in Boston traffic was sup\ ,"Newton, MA"
Fri Apr 26 23:59:59 +0000 2019,Couldn\'t agree more! My favorite part. FYI...  said great things about you at the last Vegas taping...\ ,"Gilbert, AZ"
Fri Apr 26 23:59:59 +0000 2019,"Adult female #Maltese/#MixedBreed mix in Rancho Cucamonga, CA. 44548765  ","Rancho Cucamonga, CA"
Fri Apr 26 23:59:59 +0000 2019," Gym, Jack-Off(Alot), Drink as well.'""","Arizona, USA"
Fri Apr 26 23:59:59 +0000 2019,"So happy for these boys. As the mother of a college football player, I try to imagine what feelings their moms are\ ","Iowa, USA"
Fri Apr 26 23:59:59 +0000 2019," Hey, \ Chief...\","Austin, TX"
Fri Apr 26 23:59:59 +0000 2019,"   He a stud'""","Fresno, CA"
Fri Apr 26 23:59:59 +0000 2019," Why did I literally imagine u saying that next'""","Middletown, NY"
Fri Apr 26 23:59:59 +0000 2019,SS&C has been helping #investment and #financial firms for more than 30 years. If you are looking to join an award\ ,"New Jersey, USA"
Fri Apr 26 23:59:59 +0000 2019," come on don\'t be all PC  now  couple yrs ago you heard Gus you thought of a mule  and Butch you thought of a Dyke""'","Catonsville, MD"
Fri Apr 26 23:59:59 +0000 2019," Yeah what the...'""","Grand Forks, ND"
Fri Apr 26 23:59:59 +0000 2019,"Also it\ fucking Friday already so I\ am LIVING!'""","Bloomington, MN"
Fri Apr 26 23:59:59 +0000 2019," He had one terrific post season and that\ it.'""","Indiana, USA"
Fri Apr 26 23:59:59 +0000 2019,Thanks to  for hosting us  and our #FUTP60TDSchools friends today for a day of fun and healthy eating at R\ ,"Woolwich, NJ"
Fri Apr 26 23:59:59 +0000 2019,"    Ve a chinga a tu madre pinche pdte de miarda'""","Phoenix, AZ"
Fri Apr 26 23:59:59 +0000 2019,"work work no sleep'""","Los Angeles, CA"
Fri Apr 26 23:59:59 +0000 2019,hi  came out with a new album and every song is a bop. stream launch fly land peeps \,"Pennsylvania, USA"
Fri Apr 26 23:59:58 +0000 2019,Drew Lock ,"Tampa, FL"
Fri Apr 26 23:59:58 +0000 2019,"That thing isn\'t hittable #NATS""'","Washington, DC"
Fri Apr 26 23:59:58 +0000 2019," Thank you!!!'""","San Antonio, TX"
Fri Apr 26 23:59:58 +0000 2019,"Drew Lock duded out like he\'s the youth pastor at a modern evangelical church that meets in a glorified warehouse.""'","Country Club Estates, GA"
Fri Apr 26 23:59:58 +0000 2019,Fact!\ ,"Missouri, USA"
