Date,Tweet
Date,eet',Country
Sat May 18 15:00:43 +0000 2019,Class of 2020\ miss Senior Summit!  Parent attendance is encouraged at this event.  Come get valuable informat\ ,"Conroe, TX"
Sat May 18 15:00:43 +0000 2019,"Follow up for people who have been publishing for 5+ years:\\n\\nYour most-cited paper is a'""","Glastonbury, CT"
Sat May 18 15:00:43 +0000 2019,Heading to my booth at officialmegacon and will be there for a little bit before the  panel today! Co\ ,"Florida, USA"
Sat May 18 15:00:43 +0000 2019,#MadeAtSacState ,Sierra Nevada Draught House
Sat May 18 15:00:43 +0000 2019,Its gameday Jacket family!\\n\\n\ playoff\\n\ White House\\n\ are at home\\n\ Kickoff\\n\\nBeautiful night o\ ,"Fairview, TN"
Sat May 18 15:00:43 +0000 2019,It\ 10:00 am and time for Keep Pushing: Journey of Faith with  on  #kpjof\ ,"Gary, IN"
Sat May 18 15:00:43 +0000 2019,"On set.\\n\\n#actor #actors #actorlife #sagaftra #film @ Olympia, Washington ","Olympia, WA"
Sat May 18 15:00:43 +0000 2019,Lol \   ,United States
Sat May 18 15:00:43 +0000 2019,"So, let\ see what Jared and DJT will do. ","Plano, TX"
Sat May 18 15:00:43 +0000 2019, \,"Newark, NJ"
Sat May 18 15:00:42 +0000 2019,,"Trinidad, CO"
Sat May 18 15:00:42 +0000 2019,"I hate coming to Scotland Neck , don\ got no good food places \","Scotland Neck, NC"
Sat May 18 15:00:42 +0000 2019,"     I am with a guest this weekend so probably not this time'""","Newton, MA"
Sat May 18 15:00:42 +0000 2019," Ah! Duh, I totally forgot!! Hang with meeee'""","Denver, CO"
Sat May 18 15:00:42 +0000 2019," But honestly what % of actual \ fan who cares enough to watch the FA Cup final doesn\ have ESPN+?'""","Colleyville, TX"
Sat May 18 15:00:42 +0000 2019," I full 100% agree!! Trouble is, \'voter fraud\' is a huge tool the the CA Democrat politicians use to\ ","California, USA"
Sat May 18 15:00:42 +0000 2019,Yeah meg the stallion can rap bars your favorite everyday but maybe I need to listen to fever a little more but sou\ ,"Vinings, GA"
Sat May 18 15:00:42 +0000 2019,thank you gf\ ,"Plainfield, IL"
Sat May 18 15:00:42 +0000 2019,"im excited for gramble planning and want to scream about it on twitter but unsure if i should brush the dust off of  for that'""","Bloomington, MN"
Sat May 18 15:00:41 +0000 2019,"a drinking game: we take a shot every time James Charles gets himself in trouble in the media'""","San Antonio, TX"
Sat May 18 15:00:41 +0000 2019,i accept this proposal \ ,"Chicago, IL"
Sat May 18 15:00:41 +0000 2019,"Connect 4 anyone??? The team had to answer a problem correctly in order to mark the board. At first, they relied on\ ","Rahway, NJ"
Sat May 18 15:00:41 +0000 2019,"Alright folks, y\ ready to talk a little day drinking? It\ time for the #DayDrinkingSongBracket to begin. Remem\ ","Houston, TX"
Sat May 18 15:00:41 +0000 2019,"Here for #sonictemplefestival repping #natureboyricflair ready to Rock !!!\ @ Columbus, Ohio ","Columbus, OH"
Sat May 18 15:00:41 +0000 2019,Extra\ el sol \ el calor \ y mi pelo bicolor ,"Herriman, UT"
Sat May 18 15:00:41 +0000 2019,"   Excuse me?'""","Atlanta, GA"
Sat May 18 15:00:41 +0000 2019,"On Saturdays, we play chess morning, noon, and Knight! Ready for  tournament! #NobelChessTeam\ ","Chicago, IL"
Sat May 18 15:00:41 +0000 2019," Though of course they won\ But we can dream.'""","Chicago, IL"
Sat May 18 15:00:40 +0000 2019,#GoFam Soundset Special Discount: Get your tickets now! ( this weekend only!!! \ ,"Woodbury, MN"
Sat May 18 15:00:40 +0000 2019,"  word! Im about to do a blind run on PC this morning but nobody on console has a clear yet'""","California, USA"
Sat May 18 15:00:40 +0000 2019," every time i look, i get mad all over again \","Doraville, GA"
Sat May 18 15:00:40 +0000 2019," Ayyyeeee I was wright'""","Georgia, USA"
Sat May 18 15:00:40 +0000 2019,The #ITSMFQ2 Symposium panel session \ Integration of Life & Tech\ not only explores connectivity but also revea\ ,"Ann Arbor, MI"
Sat May 18 15:00:40 +0000 2019,Y\ sleep. His albums actually hit. ,"Chicago, IL"
Sat May 18 15:00:40 +0000 2019,Loudlabs Footage on  covered by Chris Cyphers  #loudlabsnyc @ Harlem ,"Manhattan, NY"
Sat May 18 15:00:40 +0000 2019,"Searching for great food? Check out #roamingcoyoteva!\\n\ Sat, May 18\\n\ 8a - 8p\\n\ McLean Festival\\n\ ","McLean, VA"
Sat May 18 15:00:40 +0000 2019,"  the Louisville x Kentucky rivalry makes this sooooo much better too lmaooo'""","Brooklyn, NY"
Sat May 18 15:00:39 +0000 2019," Oh hell yea.'""","Columbus, GA"
Sat May 18 15:00:39 +0000 2019,Trying to sleep the night after getting braids is basically like not going to sleep at all \,"Houston, TX"
Sat May 18 15:00:39 +0000 2019,"Newport Beach, California - $1,770,000 USD  ","Newport Beach, CA"
Sat May 18 15:00:39 +0000 2019,"     Good Morning staff, crew,   and\ ","North Lauderdale, FL"
Sat May 18 15:00:39 +0000 2019," Bruh!!'""","Columbus, OH"
Sat May 18 15:00:38 +0000 2019," Trump used illegal immigrants until a story broke that many worked for him, his companies and his kids.\ ","Minneapolis, MN"
Sat May 18 15:00:38 +0000 2019,"  Wait \ he\ coming fr?'""","Des Moines, IA"
Sat May 18 15:00:38 +0000 2019,Jay Inslee is writing the climate plan the next president should adopt  via ,"Washington, USA"
Sat May 18 15:00:38 +0000 2019,My boyfriend really is my best friend \,"Winnie, TX"
Sat May 18 15:00:38 +0000 2019,"'Meijer is looking for teammates like you. See our latest #CustomerService job openings, including ""Cashier - W. Cen\ ","Sylvania, OH"
Sat May 18 15:00:38 +0000 2019,"The world owes you nothing.'""","Chicago, IL"
Sat May 18 15:00:38 +0000 2019,Today\'s match is being live streamed here:  thanks to  and  for\ ,"St Petersburg, FL"
Sat May 18 15:00:38 +0000 2019,"Looking for Buena\'Dillas! (#BuenaDillas)?\\n\ Sat, May 18\\n\ 11a - 5p\\n\ Mac & Cheese Festival - Power Plant Live!\\n\ ","Baltimore, MD"
Sat May 18 15:00:38 +0000 2019,Taking the top off the truck today \,"Winter Park, FL"
Sat May 18 15:00:38 +0000 2019,Hell\ getting cold: I\ retweeting Tomi Lahren. ,"California, USA"
Sat May 18 15:00:38 +0000 2019," Lol anything is possible'""","Cary, NC"
Sat May 18 15:00:37 +0000 2019,HERIETH\\n for tmagazinees June \ photographed by  danieledley\\nHair tsukihair\\nMake\ ,"Manhattan, NY"
Sat May 18 15:00:37 +0000 2019,Morning #UNO. #CoffeeHouseVibes #Saturday ,"Draper, UT"
Sat May 18 15:00:37 +0000 2019," Hello! I signed up for a free trial of Elite last Sunday, and anticipated I\ be able to cancel tod\ ","Texas, USA"
Sat May 18 15:00:37 +0000 2019,  Lmaoooo stahppp\,"Philadelphia, PA"
Sat May 18 15:00:37 +0000 2019,"Really looking forward to giving my presentation, and the following Q&A discussion today!!   ",Mullin's Library Reading Room
Sat May 18 15:00:37 +0000 2019," How tf can they keep doing stuff like  this ?! It\ not that hard god damn'""","New Orleans, LA"
Sat May 18 15:00:37 +0000 2019,Exactly \ ,"Orlando, FL"
Sat May 18 15:00:37 +0000 2019,"Nader watch'""","Waco, TX"
Sat May 18 15:00:36 +0000 2019," you\ a hero'""","Ashland, NJ"
Sat May 18 15:00:36 +0000 2019,"'Join the Supplemental Health Care team! See our latest #Nursing job openings, including ""Travel Home Health Home Ca\ ","Ironwood, MI"
Sat May 18 15:00:36 +0000 2019,This #RR. HH. job might be a great fit for you. Click the link in our bio to see it and more. (ZSU) Part time Air T\ ,"Isla Verde, USA"
Sat May 18 15:00:36 +0000 2019,"Want to work at Robert Half Legal? We\'re hiring in #NewYork, NY! Click the link in our bio for details on this job\ ","Manhattan, NY"
Sat May 18 15:00:36 +0000 2019, I get that YS. The hot corner is far more important. Just surprised at the beating Andujar took/takes\ ,"Florida, USA"
Sat May 18 15:00:36 +0000 2019," me to, congrats!!! you\ be a great mommy!!\","Ardmore, OK"
Sat May 18 15:00:36 +0000 2019,WhY Is ThIs NoT aT tHe OrIgINaL BpM. \ ,"Calabasas, CA"
Sat May 18 15:00:36 +0000 2019," I am Iron Man'""","Upper Darby, PA"
Sat May 18 15:00:36 +0000 2019, So sorry to hear of your loss. Your family is in my thoughts. ,"Wisconsin, USA"
Sat May 18 15:00:36 +0000 2019,You ARE \ hot to handle\  !   #chicago #awomansplaceisinthedome #hustle  ,"Chicago, IL"
Sat May 18 15:00:35 +0000 2019," That\ f-\ up'""","Churchville, PA"
Sat May 18 15:00:35 +0000 2019,"A little warm up before game 2 at The Atlantic City Showcase! Come see the Central Jersey Hawks 2023 play at 11:40,\ ","Atlantic City, NJ"
Sat May 18 15:00:35 +0000 2019,Que casualidad. ,"King of Prussia, PA"
Sat May 18 15:00:35 +0000 2019,12 o clock they said I\ getting these stones out \,"Long Beach, CA"
Sat May 18 15:00:35 +0000 2019,this the weather to wear less & go out more\,"Queenland, MD"
Sat May 18 15:00:35 +0000 2019,"   Oh, is TCU a challenge?'""","Chicago, IL"
Sat May 18 15:00:35 +0000 2019,When you see a parody account pop up out of nowhere and they already have more followers than you ,"Oakland, CA"
Sat May 18 15:00:35 +0000 2019,Thought for the day: We as humans are creatures of habit and really don\'t like change. That being said...just makin\ ,"Sayreville, NJ"
Sat May 18 15:00:35 +0000 2019,"    she did it again'""","Virginia, USA"
Sat May 18 15:00:35 +0000 2019,     Go for it!! Congratulations \,"Missouri, USA"
Sat May 18 15:00:35 +0000 2019,Get that perfect new scent just in time for summer! #shop at Coton Frais for their exclusive perfumes from Provence\ ,"Boca Raton, FL"
Sat May 18 15:00:34 +0000 2019,  Denard is my favorite UM QB ,"Economy, PA"
Sat May 18 15:00:34 +0000 2019,"Like I said yesterday, put that degree u earned to good use and focus on eliminating them student loans. Enjoy the\ ","Miami, FL"
Sat May 18 15:00:34 +0000 2019,They\ got balls in their parking lot. Hopefully they have a shower cap for  mortarboard in the store\ ,"Berkeley, CA"
Sat May 18 15:00:34 +0000 2019,"  I guess that\'s the night the lights went out in Georgia""'","Jefferson City, MO"
Sat May 18 15:00:34 +0000 2019,Now I want you ,"Houston, TX"
Sat May 18 15:00:34 +0000 2019,"The fact that anyone who isn\ a health insurance CEO can think this is a good system is nuts.'""","Chicago, IL"
Sat May 18 15:00:34 +0000 2019,"Day 1 of #MayGameRunners and I\ Shoshana Kessock, game designer, writer, immersive designer, and general nerd. I\ ","Santa Fe, NM"
Sat May 18 15:00:34 +0000 2019, I never knew I could have so much hate in me that it seriously makes me sick & am constantly searching\ ,"Stratford, CT"
Sat May 18 15:00:34 +0000 2019,Yessir! Joey rules! ,"Hammond, IN"
Sat May 18 15:00:34 +0000 2019,"Looking for Pho Wheels (#PhoWheels)?\\n\ Sat, May 18\\n\ 10a - 4p\\n\ 46105 Loudoun Park Lane, Sterling\\n\ ","Sterling, VA"
Sat May 18 15:00:34 +0000 2019,"     Does cowheard do investigative journalism? Bet he makes $5m a year ++++'""","Tempe, AZ"
Sat May 18 15:00:33 +0000 2019,stan twitter when a pro lifer tries to tweet their opinion ,"Florida, USA"
Sat May 18 15:00:33 +0000 2019,5th grade girls Game Day. TIP OFF. Let\ get this W ladies. #unbreakable #progession #nike #aaugirlsbasketball \\n\ ,"Mechanicsville, VA"
Sat May 18 15:00:33 +0000 2019,Telco ,Rodney Playground South
Sat May 18 15:00:33 +0000 2019,"Y por m\ a la gente le encojone, siempre que tenga mi tiempo libre y mi mejor amiga tambi\ estaremos juntas \","Rincón, Puerto Rico"
Sat May 18 15:00:33 +0000 2019, Go get em tiger! \,"Rodeo, CA"
Sat May 18 15:00:33 +0000 2019,"take it slow but don\ slow up'""","Nashville, TN"
Sat May 18 15:00:33 +0000 2019,Taking all of me to not respond to their bullshit \,"Kapalua, HI"
Sat May 18 15:00:33 +0000 2019,"2 for 15\\n3.5 for 25 \\n\\nshit gotta stoppp'""","Washington, DC"
Sat May 18 15:00:33 +0000 2019," good'""","Georgia, USA"
Sat May 18 15:00:33 +0000 2019,"Love getting a meal in one pot!\\nPork belly, veggies and rice in a clay pot from  \\n\  ",Clay Pot NYC
Sat May 18 15:00:33 +0000 2019,Nurture your minds with great thoughts... @ NEW YORK CITY -\\n\\n\'The essential element in nurturing our creativity lie\ ,"Manhattan, NY"
Sat May 18 15:00:33 +0000 2019,  Its long past time but  and committee chairs don\'t have the spine. Trump\'s base\ ,"San Diego, CA"
Sat May 18 15:00:32 +0000 2019,"'I\\\'ve been in Texas for ten minutes and everyone is already saying ""y\\\'all"" all the time and I can feel them here all\ ","Grapevine, TX"
Sat May 18 15:00:32 +0000 2019," I stand corrected'""","Los Angeles, CA"
Sat May 18 15:00:32 +0000 2019,Happy 70th Birthday Gatorland! Alligator \  ,"Southchase, FL"
Sat May 18 15:00:32 +0000 2019," Stfu'""","Manhattan, NY"
Sat May 18 15:00:32 +0000 2019,Prince Harry Is Back at St. George\'s Chapel a Year After His Wedding \ But Without Meghan Markle  via ,"Kansas City, MO"
Sat May 18 15:00:32 +0000 2019,"#SaturdayInspiration I had the pleasure of judging Joseph Aponte from Red Dragon in Reading, PA. This 17 year old i\ ","Atlantic City, NJ"
Sat May 18 15:00:32 +0000 2019,typical \,"Schaumburg, IL"
Sat May 18 15:00:32 +0000 2019,thank you taylor!!! love you so much\ ,"Plainfield, IL"
Sat May 18 15:00:32 +0000 2019,Idk how to act when someone subscribes to my highest tier like here\ my soul if you need it lmfao just kidding \,"Los Angeles, CA"
Sat May 18 15:00:32 +0000 2019," Happy birthday to you!!! Hope you have the best day ever because you deserve it!!!'""","Montpelier, VT"
Sat May 18 15:00:32 +0000 2019," Classic BSer or in blunt terms Con Artist.'""","Soquel, CA"
Sat May 18 15:00:31 +0000 2019, I wish I was there to feel that heat. Everything looks great Greg. You really out did yourself this year. \,"Redlands, CA"
Sat May 18 15:00:31 +0000 2019,"Searching for great food? Check out #empanadasdemza!\\n\ Sat, May 18\\n\ 8a - 1p\\n\ Farmers Market - 10500 Page Avenue,\ ","Fairfax, VA"
Sat May 18 15:00:31 +0000 2019, ilysm \,"Manhattan, NY"
