Date,Tweet
Date,eet',Country
Sun Jun 16 23:59:59 +0000 2019," what happened to the chat?'""","Illinois, USA"
Sun Jun 16 23:59:59 +0000 2019,"I\'m at McDonald\'s in Dumfries, VA ","Dumfries, VA"
Sun Jun 16 23:59:59 +0000 2019, change this ways of yours \,"Staten Island, NY"
Sun Jun 16 23:59:59 +0000 2019," thanks mane.. my Dad busted his since he so damn big lol boy built like an NBA player'""","Enterprise, NV"
Sun Jun 16 23:59:59 +0000 2019,hey mom. ,"South Euclid, OH"
Sun Jun 16 23:59:59 +0000 2019, \,"Philadelphia, PA"
Sun Jun 16 23:59:59 +0000 2019,"  I\'ve seen you on     You\'re doing great!   It\'s funny, but you looked so dirty and messed\ ","Glen Burnie, MD"
Sun Jun 16 23:59:59 +0000 2019,"yallllll'""","Mableton, GA"
Sun Jun 16 23:59:59 +0000 2019,Men in Black: International was so bad I quit watching halfway through. \\n\\nAbsolute garbage. \\n\\nI wish someone would\ ,"Town 'n' Country, FL"
Sun Jun 16 23:59:59 +0000 2019,No he podido dormir pensando en el gringuito de ayer. \ cacha\'o alguito de las gringas? \ lo dejaron a pie sin uber? ,"Caguas, Puerto Rico"
Sun Jun 16 23:59:58 +0000 2019,  LITT??? ,"North Miami Beach, FL"
Sun Jun 16 23:59:58 +0000 2019," my texas king \ you are MISSED!!!'""","Valinda, CA"
Sun Jun 16 23:59:58 +0000 2019," Well give me back my steamer thx'""","Albuquerque, NM"
Sun Jun 16 23:59:58 +0000 2019,Sign up now for the Sodus Bay Lighthouse 5k run on July 6th  ,"Avon, NY"
Sun Jun 16 23:59:58 +0000 2019,LETS GO  and ,"Somerset, MA"
Sun Jun 16 23:59:58 +0000 2019,"i\ so excited for the other chapters of my life to come. especially experiencing and living in other beautiful places.'""","Chino Hills, CA"
Sun Jun 16 23:59:58 +0000 2019,I\ really out to eat by myself\,"Marlton, NJ"
Sun Jun 16 23:59:58 +0000 2019,Drinking a V Twin Vienna Lager\ by  @ Whisper Creek Farm: The Kitchen \ ,"Florida, USA"
Sun Jun 16 23:59:58 +0000 2019,"USGA should higher a better lawn mower guy #usopen'""","Brick, NJ"
Sun Jun 16 23:59:58 +0000 2019,I\'m looking for #earpers in Miami. Help me my #eapers Family. I am french girl and alone \ ,"Miami Beach, FL"
Sun Jun 16 23:59:58 +0000 2019,"See our latest #Norman, OK job and click to apply: IT Technician -  #IT'""","Norman, OK"
Sun Jun 16 23:59:57 +0000 2019,"Keep them coming. There\ more of a clear consensus with this one. \\n\\nPS, #HappyFathersDay to all you/your fathers o\ ","Clovis, CA"
Sun Jun 16 23:59:57 +0000 2019, Aww thanks! That means a lot! I\ excited! \,"Charlotte Amalie, Virgin Islands"
Sun Jun 16 23:59:57 +0000 2019,"Join the Oakland Unified School District team! See our latest job opening here:  #Oakland, CA #Substitute'""","Oakland, CA"
Sun Jun 16 23:59:57 +0000 2019,"The new Apple Music now playing screen in iOS 13 is by far one of the best updates'""","NoHo, Manhattan"
