Date,Tweet
Date,eet',Country
Wed May 29 11:32:28 +0000 2019,Good morning just know God is in total control of your situation God bless. #WHAT\'SONTHEINSIDE #JUSTWORK charissest\ ,"Florida, USA"
Wed May 29 11:32:28 +0000 2019,  Amen... Always have a great attitude with each new day and BLESSINGS TO ALL MANKIND \,"Georgia, USA"
Wed May 29 11:32:28 +0000 2019,My liberal friend in Colorado saw these photos and commented \ rid of the hat.\ My response? \ #MAGA ,"Red Hill, SC"
Wed May 29 11:32:28 +0000 2019,"    Would tend to indicate that QV is better.'""","Hoboken, NJ"
Wed May 29 11:32:27 +0000 2019,"  And two amazing catches last year too!'""","Strongsville, OH"
Wed May 29 11:32:27 +0000 2019," Smh right'""","Tampa, FL"
Wed May 29 11:32:27 +0000 2019,"[ Wellnesste Getaway Reason 1... To Explore The Outdoors With A Buddy ]\\nLet\ face it, kids & dogs get stressed too\ ","New York, USA"
Wed May 29 11:32:27 +0000 2019," The company fired her, the baseball team apologized for placing  in their video as enemies. Wha\ ","Rockville, MD"
Wed May 29 11:32:27 +0000 2019,"I hate grown people who can\ take accountability for their actions.'""","Atlanta, GA"
Wed May 29 11:32:26 +0000 2019,"#DailyCrimeReport for May 27-28, 2019. Please remove anything of value when you park your car & don\ forget to loc\ ","Tallahassee, FL"
Wed May 29 11:32:26 +0000 2019,"2013 Ford Fusion SE Navy Federal -  Camp Pendleton, CA ","Piney Green, NC"
Wed May 29 11:32:26 +0000 2019,  I wouldn\ say it\ appropriation. We were stripped of that culture and we are just try\ ,"Colorado, USA"
Wed May 29 11:32:26 +0000 2019,"I feel like I\ on top of the world.'""","Lyndhurst, NJ"
Wed May 29 11:32:26 +0000 2019,"bruh why cant i sleep'""","Sacramento, CA"
Wed May 29 11:32:26 +0000 2019,Old pervert. Just like slick willy klinton. Just a sex offender. ,"Marion, MS"
Wed May 29 11:32:25 +0000 2019," Where u get that from'""","Romulus, MI"
Wed May 29 11:32:25 +0000 2019,,"Kansas, USA"
Wed May 29 11:32:25 +0000 2019,"I was looking at my resume feeling real fresh today !!!'""","Modesto, CA"
Wed May 29 11:32:25 +0000 2019,These future  and  #mjejags started summer \ a cool treat\ #mjesummer Love all the\ ,"Texas, USA"
Wed May 29 11:32:25 +0000 2019,Buy Powerful Wireless Vibrating Alarm Clock to wake up hard-of-hearing at Serene Innovations. \\nShop Now:\ ,"California, USA"
Wed May 29 11:32:24 +0000 2019,please watch if you want to be blessed ,"Alabama, USA"
Wed May 29 11:32:24 +0000 2019,Awwww ,"Chattanooga, TN"
Wed May 29 11:32:24 +0000 2019,The vast majority of them simply must know better. ,"Closter, NJ"
Wed May 29 11:32:24 +0000 2019," Thank you, Logan.  #Durham could use someone commited to thoughtful architectural critique. I hope you keep at it.'""","Durham, NC"
Wed May 29 11:32:24 +0000 2019,This is what I need ,"Atlanta, GA"
Wed May 29 11:32:24 +0000 2019,I much rather be sleeping \,"Manhattan, NY"
Wed May 29 11:32:24 +0000 2019," It be like that'""","Los Angeles, CA"
Wed May 29 11:32:24 +0000 2019,"Its weird being off for like 4.5 days and then coming back to so much that\ changed'""","San Antonio, TX"
Wed May 29 11:32:23 +0000 2019,"Niggahs be collecting Brooklyn , Queens n Bronx babes like Pok\ balls ... them 3 other boroughs to big to ever get caught up in a mess'""","Manhattan, NY"
Wed May 29 11:32:23 +0000 2019,"I\'m at DCOTA front parking lot in Dania, FL ","Dania Beach, FL"
Wed May 29 11:32:23 +0000 2019,"Overall, I like these matchups. I would quibble with sending Purdue to Marquette for the second time in 3 years. Wh\ ","Minneapolis, MN"
Wed May 29 11:32:23 +0000 2019,some girl in MHK mus got cheated on cuz idk why she\ be f*** up this GT Stang\,"Kansas, USA"
Wed May 29 11:32:23 +0000 2019,"Interesting. Getting closer to the truth. Still, they didn\'t have a problem with such behavior when it was aimed at\ ","Newport, SC"
Wed May 29 11:32:22 +0000 2019, \ ,"Lancaster, OH"
Wed May 29 11:32:22 +0000 2019," Your firm clearly misses the whole point of Twitter'""","Sarasota, FL"
Wed May 29 11:32:22 +0000 2019,Opioid-Krise in den USA - Schweizer Kulturbetriebe halten zu umstrittener Sackler-Familie (via  ) ,"Manhattan, NY"
Wed May 29 11:32:22 +0000 2019," Yeah, this list sucks'""","Cleveland, OH"
Wed May 29 11:32:22 +0000 2019, Getting nervous huh? #Qanon ,"Pittsville, TX"
Wed May 29 11:32:21 +0000 2019,"Please don\ rain tomorrow'""","Delaware, USA"
Wed May 29 11:32:21 +0000 2019,Want some juice?  ,"Madison Heights, MI"
Wed May 29 11:32:21 +0000 2019," It\ more the threat than the actual litigation that is used by districts.'""","Raleigh, NC"
Wed May 29 11:32:21 +0000 2019,Lot of great hiring from the LAT lately ,"Washington, DC"
Wed May 29 11:32:21 +0000 2019," Lmfaooo'""","Forestdale, AL"
Wed May 29 11:32:21 +0000 2019," Galeeeeeengggg!!!'""","Queens, NY"
Wed May 29 11:32:20 +0000 2019,"i know you mines and these bitches thirsty but pls don\ entertain them bc it will hurt me'""","Houston, TX"
Wed May 29 11:32:20 +0000 2019,:\'( ,"West Allis, WI"
Wed May 29 11:32:20 +0000 2019," 5'""","Fort Worth, TX"
Wed May 29 11:32:20 +0000 2019, AMEN!!!\,"Burleson, TX"
Wed May 29 11:32:20 +0000 2019,Huh. Interesting. ,"Ann Arbor, MI"
Wed May 29 11:32:20 +0000 2019,"Btw, if I want to read up more on the pro-Jim Crow connections between Jackson, MS, First Pres Church in Jackson, M\ ","Manhattan, NY"
Wed May 29 11:32:19 +0000 2019," This is sick and demented. What in the hell is wrong with you?'""","Virginia, USA"
Wed May 29 11:32:19 +0000 2019,"This going on dates shit is fun lol I definitely was missing out lol'""","Washington, DC"
Wed May 29 11:32:19 +0000 2019,"  Brooklyn gets me every time'""","Deptford, NJ"
Wed May 29 11:32:19 +0000 2019," It\ a cool part of the world. Always enjoyable trips. Some are easier than others.'""","Newark, NJ"
Wed May 29 11:32:18 +0000 2019," Great work! Congratulations!'""","San Antonio, TX"
Wed May 29 11:32:18 +0000 2019," You got him Chuck'""","Manhattan, NY"
Wed May 29 11:32:18 +0000 2019,"There\ a difference between loving someone and being in love with someone'""","Valdosta, GA"
Wed May 29 11:32:18 +0000 2019," Yep.  We\ all had them. What\ cool is that there is always tomorrow, and I can\ count the time\ ","Florida, USA"
Wed May 29 11:32:18 +0000 2019, You are absolutely NOT objectively hilarious!! You\'re funny like an old lady falling down a manhol\ ,"Sterling Heights, MI"
Wed May 29 11:32:18 +0000 2019,Something tells me Reinsdorf is going to dock her pay in order to help pay for fixing the camera. ,"Houston, TX"
Wed May 29 11:32:18 +0000 2019,"Now is the time. #learn #grow #insight #nowisthetime #abetterme @ Port Huron, Michigan ","Port Huron, MI"
Wed May 29 11:32:17 +0000 2019,  Indispensable? Try  ,"Cincinnati, OH"
Wed May 29 11:32:17 +0000 2019,"Being single isn\ a bad thing. People are really on here depressed over social media couple clout pics.'""","Amherst, NY"
Wed May 29 11:32:17 +0000 2019,"You\ sweet but I\ tired of proving this love. You\ a bore, but you move me like a movie that you are.'""","San Antonio, TX"
Wed May 29 11:32:16 +0000 2019,Facts. Sometimes all that extra energy in the room can throw off the vibe. ,"Lawrenceville, GA"
Wed May 29 11:32:16 +0000 2019,"  Meant to say I\'m headed to work..not Is...ha ha""'","Philadelphia, PA"
Wed May 29 11:32:16 +0000 2019," Point your front foot at your target. Well she did that'""","Alabama, USA"
Wed May 29 11:32:16 +0000 2019,You\'re off the hook  ,"Florida, USA"
Wed May 29 11:32:15 +0000 2019,"Yo estoy para que me traigan el desayuno a la cama y volverme a dormir'""","Tomás de Castro, Puerto Rico"
Wed May 29 11:32:15 +0000 2019,me w eyeliner &  w falsies lmfaooooo ,"Manhattan, NY"
Wed May 29 11:32:15 +0000 2019,"   You are right, JWR does seem to dislike this bill. Wait, I\ getting some\ ","Pittsburgh, PA"
Wed May 29 11:32:15 +0000 2019,  Good morning \,"Appleton, MN"
Wed May 29 11:32:15 +0000 2019,"  Morning Miss K, I second that'""","Columbus, OH"
Wed May 29 11:32:15 +0000 2019,This photo is 1/3 of a meal for me. BRING ON THE CHICKEN FINGERS!!!!!!  #tcnt ,"St Louis Park, MN"
Wed May 29 11:32:15 +0000 2019,"  O wag mo ipasa sakin gawain mo gulfo! Hahaha siraulo'""","Lubbock, TX"
