Date,Tweet
Date,eet',Country
Wed May 15 13:46:20 +0000 2019,omg i was THIS bitch ,"Richmond West, FL"
Wed May 15 13:46:20 +0000 2019,   Why don\'t more Americans not realize what danger we all are in with trump.\ ,"Iowa, USA"
Wed May 15 13:46:20 +0000 2019,im only loyal to the niggas that would buss guns 4 me..\,"Paterson, NJ"
Wed May 15 13:46:20 +0000 2019,"EVERYTHING MEANS NOTHING IF I CAN\ HAVE YOU!!!!!!!!'""","Georgia, USA"
Wed May 15 13:46:20 +0000 2019,"    los derechos humanos no tienen colores ni partidos!'""","San Gabriel, CA"
Wed May 15 13:46:20 +0000 2019,"time to meet new people and hangout with new people. hmu'""","Auburn, IN"
Wed May 15 13:46:20 +0000 2019,Saddest thing I\ read in a while... #CEU #Hungary #Fidesz ,"Washington, DC"
Wed May 15 13:46:20 +0000 2019,"We\'re hiring! Read about our latest job opening here: Net Architect -  #IT #DenhamSprings, LA""'","Denham Springs, LA"
Wed May 15 13:46:20 +0000 2019,"It\ crazy cuz when I peep and po'""","Norfolk, VA"
Wed May 15 13:46:19 +0000 2019,"  #SaveSantaClaritaDiet'""","Redwood City, CA"
Wed May 15 13:46:19 +0000 2019, Thanks - I probably should have posted that with the initial tweet.\\n\\nThere\'s always ways we could imp\ ,"Tonawanda, NY"
Wed May 15 13:46:19 +0000 2019,"'2nd teaser trailer for ""Love Immortal "" , definitely a fun time working with so many talented people\ ","Westland, MI"
Wed May 15 13:46:19 +0000 2019,Kami Rita Sherpa scales Mt Everest 23 times -   via ,"North Carolina, USA"
Wed May 15 13:46:19 +0000 2019,"if your read receipts are off don\ text me. me no conversate wit da fake.'""","San Angelo, TX"
Wed May 15 13:46:19 +0000 2019,"If you\'re looking for work in #Salisbury, MD, check out this #Physician job via the link in our bio: Physician - Fa\ ","Salisbury, MD"
Wed May 15 13:46:19 +0000 2019,"We\'re hiring in #FortBragg, NC! Click the link in our bio to apply to this job and more: Jr. System Administrator (\ ","Fort Bragg, NC"
Wed May 15 13:46:19 +0000 2019," Showing their ass and not making no money'""","South Carolina, USA"
Wed May 15 13:46:19 +0000 2019,"Cesar Eduardo es cosa loca siempre esta como escondido como las viejas chismosas\ but i love him so much'""","Dallas, TX"
Wed May 15 13:46:18 +0000 2019," let\ plan something'""","Apex, NC"
Wed May 15 13:46:18 +0000 2019,"The amount of D1 players on the court practicing last night was \ matter name on uniform, if you are in it\ ","Rumson, NJ"
Wed May 15 13:46:18 +0000 2019," can you add another cart to the 7:43 f linear bellview northbound? It\ crammed like sardines by the time it gets to bellview.'""","Denver, CO"
Wed May 15 13:46:18 +0000 2019," every wrestling promotion I\'ve ever watched has at the most 10Top Stars that\'s all you need, build the rest.""'","Akron, OH"
Wed May 15 13:46:18 +0000 2019,,Famous Toastery
Wed May 15 13:46:18 +0000 2019," Fuck that!'""","Murfreesboro, TN"
Wed May 15 13:46:18 +0000 2019,Remind him how great he is everyday #blackmenmatter #myking ,"Smyrna, DE"
Wed May 15 13:46:18 +0000 2019,Sometimes I get more excited about which mug I\ sip from than which coffee to enjoy. This was a winning combinati\ ,"Franklin, TN"
Wed May 15 13:46:17 +0000 2019,Day 3 of finals starts now...Jasmine and Magnia stopped by to offer some #pettherapy  Got This!!\ ,"Topeka, KS"
Wed May 15 13:46:17 +0000 2019,"Just posted a photo @ Philadelphia, Pennsylvania ","Philadelphia, PA"
Wed May 15 13:46:17 +0000 2019, Circa 1928 ,"Sarasota, FL"
Wed May 15 13:46:17 +0000 2019, Hey anytime\,"Illinois, USA"
Wed May 15 13:46:17 +0000 2019," Me to'""","Troy, AL"
Wed May 15 13:46:17 +0000 2019,The Stones ! Mick and the guys rocked us from the 60\'s right to this very day. ,"Freehold, NJ"
Wed May 15 13:46:17 +0000 2019,"May IAMCultureCare newsletter is out. You can view and sign up for free here. #theologyofmaking,  ","Montgomery, NJ"
Wed May 15 13:46:17 +0000 2019, Thanks \,"Brooklyn, NY"
Wed May 15 13:46:16 +0000 2019,"Views.... @ Malibu, California ","California, USA"
Wed May 15 13:46:16 +0000 2019, Preciate it fam\,"Terrell, TX"
Wed May 15 13:46:16 +0000 2019,"1)  you are a disgrace to your daughter (a school teacher), all students & all teachers for voting ag\ ","Los Angeles, CA"
Wed May 15 13:46:16 +0000 2019,We heard this week at #MOSTWorkshop2019 that  is interested in #optimization! #MOST ,"Bethesda, MD"
Wed May 15 13:46:16 +0000 2019,"  Actually a great pedagogical moment, in which the teacher reveals the word that s\ ","Florida, USA"
Wed May 15 13:46:16 +0000 2019,Vacation is 2 weeks and 2 days away but like can I make it that long???? \,"Connecticut, USA"
Wed May 15 13:46:15 +0000 2019,bishhh you\ not 21 ,"Daytona Beach, FL"
Wed May 15 13:46:15 +0000 2019, Right ! they was pretty at first but now \,"Baltimore, MD"
Wed May 15 13:46:15 +0000 2019,I would #BoycottAlabama  but the state produces nothing of value and is home to nothing I wish to see.  It is a whi\ ,"Ballenger Creek, MD"
Wed May 15 13:46:15 +0000 2019," Also- no shaving legs.'""","Wickliffe, OH"
Wed May 15 13:46:15 +0000 2019,"'Exactly!!!! It\\\'s not all ""here\\\'s my money, go spend it Google!"" ","San Francisco, CA"
Wed May 15 13:46:15 +0000 2019," The funnel.'""","Charlotte, NC"
Wed May 15 13:46:15 +0000 2019,Several western Iowa track teams have state championship dreams this week. Here\ a look at the top hopefuls: ,"Council Bluffs, IA"
Wed May 15 13:46:15 +0000 2019," Yes you have come far. Certain things will trigger a memory.  But hang in there, you are a strong\ ","Stockton, CA"
Wed May 15 13:46:15 +0000 2019,How in the fuck?? ,"Destrehan, LA"
Wed May 15 13:46:15 +0000 2019," Sidon there day dreaming! They have nothing to offer hence they spill out bullshit day after day.'""","Oakland, CA"
Wed May 15 13:46:14 +0000 2019,"Called Betty this morning, and our call went from 5 minutes to almost an hour long. Miss my momma\","Corpus Christi, TX"
Wed May 15 13:46:14 +0000 2019,Injury accident in #Oklahoma on NW 150th St east of N Pennsylvania Ave #OKCtraffic ,"Oklahoma City, OK"
Wed May 15 13:46:14 +0000 2019,Right on ! ,"Manhattan, NY"
Wed May 15 13:46:14 +0000 2019,"   Thanks!'""","Washington, DC"
Wed May 15 13:46:14 +0000 2019,"    We can\ hold an Economics Class on Twitter, but People like Yang,\ ","Tennessee, USA"
Wed May 15 13:46:14 +0000 2019,"  No, they are not, these are the evangelicals that support Zionism. ","Findlay, OH"
Wed May 15 13:46:14 +0000 2019,Right now  talks to  about the latest celebrity news.  ,"Druid Hills, GA"
Wed May 15 13:46:14 +0000 2019, All three are adorable but you will be standing for a long time so I highly suggest the one that is most comfortable\,"Los Angeles, CA"
Wed May 15 13:46:14 +0000 2019," You girls are about to embark on an amazing journey.'""","Arkansas, USA"
Wed May 15 13:46:13 +0000 2019,"They claim they showing love but I don\ really feel nun'""","San Diego, CA"
Wed May 15 13:46:13 +0000 2019,"learning not to vent to people, but to my music and with allah! \","Midland Park, NJ"
Wed May 15 13:46:13 +0000 2019,The Democratic Party appears to represent LAWLESSNESS. \\nFederal  Government was originally created to defend agains\ ,"Victoria, TX"
Wed May 15 13:46:13 +0000 2019,"  Exactly. What the jaggy said!'""","Seattle, WA"
Wed May 15 13:46:13 +0000 2019," Where is here'""","Virginia, USA"
Wed May 15 13:46:13 +0000 2019,"Hi, if you\ a Facebook Marketing Partner who I neglected to chat with yesterday, DM me'""","Brooklyn, NY"
Wed May 15 13:46:13 +0000 2019,Comedy! What a legend ,"Anchorage, KY"
Wed May 15 13:46:12 +0000 2019," Attn. Trumpsters: You know that he is trying to bribe you with more lies, right!?!? The farmers are finall\ ","Dallas, TX"
Wed May 15 13:46:12 +0000 2019," YIKES. That is...uncanny.'""","Sarasota, FL"
Wed May 15 13:46:12 +0000 2019,My view! ,"Mississippi, USA"
Wed May 15 13:46:12 +0000 2019,So lucky that I have a guy that encourages me to take me time and does his best to help me deal with the little things  \,"Hamden, CT"
Wed May 15 13:46:12 +0000 2019,"Just posted a photo @ Rutherford, Pennsylvania ","Rutherford, PA"
Wed May 15 13:46:12 +0000 2019,Building a closer relationship With GOD Work School Building My Credit Trying to Be a Home Owner And Just being a G\ ,"North Carolina, USA"
Wed May 15 13:46:12 +0000 2019,"    Ah, I only saw Friday\","New York, USA"
Wed May 15 13:46:12 +0000 2019,Thank you  ,"Manhattan, NY"
Wed May 15 13:46:12 +0000 2019,glad I didnt make your feed today ,"Boca Raton, FL"
Wed May 15 13:46:12 +0000 2019,The 2nd photo shows sediment that has settled to the bottom of the jar after straining out the herb & squeezing eve\ ,"Pennsylvania, USA"
Wed May 15 13:46:12 +0000 2019, \,"Georgia, USA"
Wed May 15 13:46:12 +0000 2019,Yesterday at  year-end sports award ceremony. #WhyAna ,"Washington, DC"
Wed May 15 13:46:12 +0000 2019,"Finally tracked down The Man, The Myth, The Legend, The Professional  before the season ran out!!  Th\ ","Baton Rouge, LA"
Wed May 15 13:46:12 +0000 2019,Thank God the weather broke in Delaware \,"Delaware, USA"
Wed May 15 13:46:11 +0000 2019," Traitor'""","North Carolina, USA"
Wed May 15 13:46:11 +0000 2019," Happy Austin Riley Day!!!'""","Pooler, GA"
Wed May 15 13:46:11 +0000 2019,Game day. ##Huskies will take on  Don\'t miss it. ,Sheldon High School
Wed May 15 13:46:11 +0000 2019,They still think we don\ deserve nothing. Fuck them. ,"New Orleans, LA"
Wed May 15 13:46:11 +0000 2019,  nah. folks picking da baby over him \,"Georgia, USA"
Wed May 15 13:46:10 +0000 2019,"You can\ do what I do that\ part of the problem!!!'""","St Petersburg, FL"
Wed May 15 13:46:10 +0000 2019,"  \ presenta una soluci\ porfa. No entiendo tu af\ en seguir discutiendo en vez de actuando.'""","Manhattan, NY"
Wed May 15 13:46:10 +0000 2019,"this has been the shittiest work week, tell me how it\ only wednesday'""","San Diego, CA"
Wed May 15 13:46:10 +0000 2019,"We\'re hiring in #Mason, MI! Click the link in our bio to apply to this job and more: Part Time Retail Inventory Ass\ ","Mason, MI"
Wed May 15 13:46:10 +0000 2019," Youre legit the only one i know who calls texts iMessages. Yeahh thats what they are but its a texttt'""","Vista, CA"
Wed May 15 13:46:09 +0000 2019,"' Because he was a ""celebrity""\''","Kilgore, TX"
Wed May 15 13:46:09 +0000 2019,LIT!! \ ,"Missouri, USA"
Wed May 15 13:46:09 +0000 2019, There\'s a distinct danger in going all \'no true scottsman\' on other religions. They ARE believers. Ne\ ,"Seattle, WA"
Wed May 15 13:46:09 +0000 2019,"We\'re hiring in San Pablo, CA! Click the link in our bio to apply to this job and more: Nutrition Adjunct Instructo\ ","San Pablo, CA"
Wed May 15 13:46:09 +0000 2019,Tool bitches!! ,"Gladstone, MO"
Wed May 15 13:46:09 +0000 2019,"I sense a narrative.'""","DeRidder, LA"
Wed May 15 13:46:09 +0000 2019,How backwards can this country go. Especially not giving choice in \'illegally forced\' pregnancies. Please say no wo\ ,"Concord, NC"
Wed May 15 13:46:09 +0000 2019,"  THANK YOU'""","Queens, NY"
Wed May 15 13:46:08 +0000 2019,Up before the sun this morning with LU Crew ,Smith Mountain Lake Dam
Wed May 15 13:46:08 +0000 2019," Real! Just had to redo mine last year bc measles titers were gone!'""","San Antonio, TX"
Wed May 15 13:46:08 +0000 2019,"'Every Lowes appliance installer guy, ""I don\\\'t know how you live downtown like this."" \\nYou mean near people, arts, c\ ","Indianapolis, IN"
Wed May 15 13:46:08 +0000 2019,Happy Birthday to  legend  ,"Queen Creek, AZ"
Wed May 15 13:46:08 +0000 2019," Thank you!!'""","Brooklyn, NY"
Wed May 15 13:46:08 +0000 2019, Lmao \,"Montgomery, AL"
Wed May 15 13:46:08 +0000 2019," Wrong expiration on mypart sorry'""","Tennessee, USA"
Wed May 15 13:46:08 +0000 2019,"Luke 14:11 KJV\\nFor whosoever exalteth himself shall be abased; and he that humbleth himself shall be exalted.'""","Chicago, IL"
Wed May 15 13:46:08 +0000 2019,Tell your friends who are radio DJs and programmers that they can download our artists\ music in CD quality for rad\ ,"New Orleans, LA"
Wed May 15 13:46:08 +0000 2019,"'  To Beto from Joe, ""Don\\\'t go to my Plastic Surgeon""\''","Vancouver, WA"
Wed May 15 13:46:08 +0000 2019,"this cuntry is a disgrace'""","San Marcos, TX"
Wed May 15 13:46:07 +0000 2019,Casali better ,"Lombard, IL"
Wed May 15 13:46:07 +0000 2019, But she did nothing of the kind and is 1000% right. For the record HRC was talking about KKK & Nazis\ ,"Brooklyn, NY"
Wed May 15 13:46:07 +0000 2019,$4 for crappy drip coffee in the lobby at the  in downtown!? Come on. Thankfully  across the stre\ ,"Manhattan, NY"
Wed May 15 13:46:07 +0000 2019," Interesting'""","Troy, AL"
Wed May 15 13:46:07 +0000 2019,  lol just know i felt this tweet. \,"Los Angeles, CA"
Wed May 15 13:46:07 +0000 2019,"Its Wednesday, right?..'""","Augusta, GA"
Wed May 15 13:46:07 +0000 2019,fuck around & sleep my day away until later \,"Baltimore, MD"
Wed May 15 13:46:07 +0000 2019,"The day I make a flipagram for somebody\ son IT\ A WRAP'""","Spring, TX"
Wed May 15 13:46:07 +0000 2019,My girl the \ for putting up with me. I SALUTE you baby \,"Palestine, TX"
Wed May 15 13:46:06 +0000 2019,Lmao...people are whack. \,"El Paso, TX"
Wed May 15 13:46:06 +0000 2019,"' ""It became clear it was not an assault.""\\nThis raises more questions than it answers.\''","Florida, USA"
Wed May 15 13:46:06 +0000 2019," I completely empathize with that feeling.'""","Elizabethtown, KY"
Wed May 15 13:46:06 +0000 2019," I told u I have it yesterday. Pay attention lol'""","Lincoln, NE"
Wed May 15 13:46:06 +0000 2019,The New Era of Marketing Strategy via  ,"Hebron, TX"
Wed May 15 13:46:06 +0000 2019,"Just Going Keep Shit To Myself  ..'""","New York, USA"
Wed May 15 13:46:06 +0000 2019,This too.  My 1943 war worker cottage is this exact thing. ,"Virginia, USA"
Wed May 15 13:46:06 +0000 2019,"Grateful to be alive and well'""","Chicago, IL"
Wed May 15 13:46:06 +0000 2019,"Empezar el mi\ con un \ de una madre cabreada, seguir con una reuni\ con tu jefe de divisi\ (\ continua\ ","Manhattan, NY"
Wed May 15 13:46:05 +0000 2019," Thank you cay'""","Los Angeles, CA"
Wed May 15 13:46:05 +0000 2019, #TermLimits \\nI totally agree with you Charlie. Maybe we\ finally see some of the crooks in Washin\ ,"Texas, USA"
Wed May 15 13:46:05 +0000 2019,"Holy shit, almost 3 years to the date. T-minus 26 hours till I go again ","Berkeley, MO"
Wed May 15 13:46:05 +0000 2019,"I\'m at  in Saint Ann, MO ","Bridgeton, MO"
Wed May 15 13:46:05 +0000 2019,Must refrain from stooping to the level of idiocy that is the MAGA set when commenting on comment to a Democratic p\ ,"Dublin, OH"
Wed May 15 13:46:05 +0000 2019," Truth Matthew'""","Arlington, VA"
Wed May 15 13:46:05 +0000 2019,"   You know you said that out loud don\ you. She rewrites history saying what she said.'""","South Carolina, USA"
Wed May 15 13:46:05 +0000 2019,"Hating life atm . I\ so sleepy'""","Moreno Valley, CA"
Wed May 15 13:46:05 +0000 2019,"Unions....are complete bs, just like the healthcare system but that\'s two separate issues""'","Bronx, NY"
Wed May 15 13:46:05 +0000 2019," While those who say using Holocaust & calming were the problem, THATS just BS.  But for those payi\ ","Las Vegas, NV"
Wed May 15 13:46:04 +0000 2019," Well, crackers and white American cheese on Wonder bread. Other than that, making a dignified response isn\'t possible. Sorry.""'","Washington, DC"
Wed May 15 13:46:04 +0000 2019,got up particularly early so that i could get coffee to prepare for ~nhc~ and they\ training new people so it\ extra fucking slow \,"North Andover, MA"
Wed May 15 13:46:04 +0000 2019,"  I think what he\ trying to say is less student debt = more babies.'""","Washington, DC"
Wed May 15 13:46:04 +0000 2019,Does your brain just randomly forget you are human and you end up talking like a robot? ,"Scott Township, PA"
Wed May 15 13:46:04 +0000 2019,"Grand Opening Celebration!!!, The Hill Antique Market, with food and beverages, All Day Today, 10:00 AM to 8:00 PM,\ ","St Louis, MO"
Wed May 15 13:46:04 +0000 2019,It\ about time ,"Tallahassee, FL"
Wed May 15 13:46:04 +0000 2019," Yo wild \ bitch you never hit me back yesterday'""","Baltimore, MD"
