Date,Tweet
Date,eet',Country
Mon Jun 03 23:59:59 +0000 2019," \ You mean like Maxine Waters grilling banks on student loan crisis even though the feds took over in 2010, almost a decade ago'""","Nashville, TN"
Mon Jun 03 23:59:59 +0000 2019,"  Q asneira'""","Highlands Ranch, CO"
Mon Jun 03 23:59:59 +0000 2019,James!  \,"Londonderry, NH"
Mon Jun 03 23:59:59 +0000 2019, Who said I wasn\ gonna invite you?\,"Alliance, OH"
Mon Jun 03 23:59:59 +0000 2019," Sounds better than the lynchings, rapes, torture, kids used as alligator bait America has inflicted on black people.'""","Athens, GA"
Mon Jun 03 23:59:59 +0000 2019, Im DOWN \,"Escanaba, MI"
Mon Jun 03 23:59:59 +0000 2019,"  You have an argument in the case of asexual reproduction \\n\\nUntil that happens with Homo sapiens, you don\","Eufaula, AL"
Mon Jun 03 23:59:59 +0000 2019,No one was prepared but God and a young  #SonogramNurse on her first Day. \,"Charlotte, NC"
Mon Jun 03 23:59:59 +0000 2019,wHy yOu mEnTioN uS ,"Williamstown, NJ"
Mon Jun 03 23:59:59 +0000 2019," Thank you! There\ nothing I\ rather do.'""","Lexington, SC"
Mon Jun 03 23:59:59 +0000 2019," You used to tak about LFPR a lot. Why did you stop?'""","Irving, TX"
Mon Jun 03 23:59:59 +0000 2019,  #century21 #realestate #vanwa #portlandor #oregon #washingtonstate #longviewwa   ,"Vancouver, WA"
Mon Jun 03 23:59:59 +0000 2019,"'This Thursday we\\\'re performing an all ages, free show in Orland Park, IL.\\nMarket in the Park.\\n6:30pm-8pm\\nMarty ""Big\ ","Orland Park, IL"
Mon Jun 03 23:59:58 +0000 2019,"    Long island supports you!!'""","West Babylon, NY"
Mon Jun 03 23:59:58 +0000 2019,Super fun game when your daughters play your students from  and former students from  !\ ,"Brookhaven, PA"
Mon Jun 03 23:59:58 +0000 2019,"I want Splinter Cell back.... \\nE3 gotta come in clutch.'""","San Jose, CA"
Mon Jun 03 23:59:58 +0000 2019,"Congestion cleared on I-10 WB @ MP27.6 near Exit 27/Causeway in Mobile.'""","Mobile, AL"
Mon Jun 03 23:59:58 +0000 2019,"#sugarbabyforme #seekingarrangment we only rise by lifting others Sugar baby needed with allowance of $900 weekly,\ ","Boston, MA"
Mon Jun 03 23:59:58 +0000 2019,  \,"San Jose, CA"
Mon Jun 03 23:59:58 +0000 2019," #fact'""","New Jersey, USA"
Mon Jun 03 23:59:58 +0000 2019, Thank you. Love you. Miss you. \,"Washington, DC"
Mon Jun 03 23:59:58 +0000 2019,#44 The Best President in My Lifetime! ,"Texas, USA"
Mon Jun 03 23:59:58 +0000 2019,We have arrived Odessa. #cactushouse tonight. #theblackmoriah @ United States ,"Kansas, USA"
Mon Jun 03 23:59:58 +0000 2019,Hoy a ver el partido... alguien se apunta!? Estaremos en el Garage.. garagephilly #garagephilly #philly #phillybars\ ,"Philadelphia, PA"
Mon Jun 03 23:59:58 +0000 2019,"Ima get a gf summertime'""","Washington, DC"
Mon Jun 03 23:59:58 +0000 2019,Something about Itunes closing down made mee DEEPLY nostalgic for a time where I ripped CDs into Window Media Playe\ ,"Los Angeles, CA"
Mon Jun 03 23:59:58 +0000 2019," What is it if it isn\ a squat?'""","Reading, MA"
Mon Jun 03 23:59:58 +0000 2019, Anumea \,"Irving, TX"
Mon Jun 03 23:59:58 +0000 2019, One of the women he killed was a member of our last church. I barely knew her but have a lot of frie\ ,"Las Cruces, NM"
Mon Jun 03 23:59:58 +0000 2019,See you there!! ,"North Miami, FL"
Mon Jun 03 23:59:58 +0000 2019,"  US 9'""","Fremont, CA"
