Date,Tweet
Date,eet',Country
Thu May 23 21:43:35 +0000 2019,"I thought oh I\'ll just sit in the grass in my bathing suit, my skin still couldn\'t react that badly to it. well I was wrong, very wrong""'","Tennessee, USA"
Thu May 23 21:43:35 +0000 2019," Yeah, it still is a comedy though.'""","Michigan, USA"
Thu May 23 21:43:35 +0000 2019,Before & After. Lord thank you worth it ang struggle and no rest days. Living room 80% done!! \ ,"Queens, NY"
Thu May 23 21:43:35 +0000 2019, Can I have more than one?  Texas and Kentucky for our \,"Austin, TX"
Thu May 23 21:43:35 +0000 2019," Me: Alexa,,,,,,,play Lynyrd Skynyrd\\n\\nAlexa:\\n\\nMe: ALEXA!!!! play Lynyrd Skynyrd!\\n\\nWife: \\n\\nThats the tuna can you\ talking to'""","Sumner, WA"
Thu May 23 21:43:35 +0000 2019,Hahahahahahahahahahahahaha ,"Arlington, TX"
Thu May 23 21:43:35 +0000 2019,"I don\'t think I\'ve actually visited my local  branch before today and whoaaa, this building is stunning. ",Chase
Thu May 23 21:43:34 +0000 2019,"  is its name.'""","Milwaukee, WI"
Thu May 23 21:43:34 +0000 2019,It a Dj ever trolled the crowd and dropped something nasty into Fruit Salad by The Wiggles I\ probably lose my shit\,"Colorado Springs, CO"
Thu May 23 21:43:34 +0000 2019,"Is Riverdale season 3 any good?'""","Pembroke, NC"
Thu May 23 21:43:34 +0000 2019,"I\'m at Youngstown Village Diner in Youngstown, NY ","Youngstown, NY"
Thu May 23 21:43:34 +0000 2019,They think their virtuous public service will make their lirs believable. Lol! ,"Rockford, IL"
Thu May 23 21:43:34 +0000 2019,The classic cars \ ,"Idaho Falls, ID"
Thu May 23 21:43:34 +0000 2019,She did it \ ,"Birmingham, AL"
Thu May 23 21:43:34 +0000 2019,"What\ cooler than trying to shame porn stars for their outspoken defense of abortion rights'""","Los Angeles, CA"
Thu May 23 21:43:34 +0000 2019," Suddenly I definitely remember having read that, but I do not remember the title or anything.'""","Eugene, OR"
Thu May 23 21:43:34 +0000 2019,Waterwalkers first shipment of the Ozone made palafamala is in and they r very nice \ #ozone\ ,"Washington, USA"
Thu May 23 21:43:34 +0000 2019,  Got this beauty last night from a research task! \ ,"Henderson, NV"
Thu May 23 21:43:33 +0000 2019, \,"Inglewood, CA"
Thu May 23 21:43:33 +0000 2019, HOW!!! literally i can eat the majority of things even if i\ not a huge fan but i\ never been able t\ ,"North Star, DE"
Thu May 23 21:43:33 +0000 2019,"   Nobody can be any more scared than they r now, having to deal with such\ ","Pharr, TX"
Thu May 23 21:43:33 +0000 2019,"Whewwwww, it really ain\ trickin if you got it \","Pittsburgh, PA"
Thu May 23 21:43:33 +0000 2019, Tha grind don\ stop!! I\ so proud of you!!\,"Killeen, TX"
Thu May 23 21:43:33 +0000 2019,I would MF Slay \ ,"Pooler, GA"
Thu May 23 21:43:33 +0000 2019,  No me invitaron a ninguna fiesta. Laburo para progresar. Los de la fiesta e invitados\ ,"Hawthorne, CA"
Thu May 23 21:43:33 +0000 2019," i was unimpressed. i was like, that\'s not a storm. but when i saw my first snowflake last winter: ","Washington, DC"
Thu May 23 21:43:33 +0000 2019,How to E2E test this? #TriAccOrange ,"San Francisco, CA"
Thu May 23 21:43:33 +0000 2019,You got my attention now ,"Manhattan, NY"
Thu May 23 21:43:33 +0000 2019,"So, I just finished episode three of season 1 when Arya is gettin her first fencing lesson and I love Ned\'s reactio\ ","Vermillion, SD"
Thu May 23 21:43:33 +0000 2019,"And? She was being nice. She could have dismissed you because  YOU ARE A LIAR, not worth\ ","Chicago, IL"
Thu May 23 21:43:33 +0000 2019, Oh no greasy floor icecream ,"Medical Lake, WA"
Thu May 23 21:43:32 +0000 2019,"'Stop staring at the clock every day. It\\\'s time for a new career. Follow us to view jobs with titles like ""Clinical\ ","Albuquerque, NM"
Thu May 23 21:43:32 +0000 2019,What an AMAZING day!\\nTwo of our own little Warriors stood tall and were proudly sworn in as honorary Deputy Chiefs\ ,NYPD - 32nd Precinct
Thu May 23 21:43:32 +0000 2019,"OPEN HOUSES Memorial Day Weekend, Home Buyers in Manhasset, Sands Point, Port Washington, NY. Schedule your appoint\ ","Manhasset, NY"
Thu May 23 21:43:32 +0000 2019,"'""Freshmen Austin""\''","Manhattan, NY"
Thu May 23 21:43:32 +0000 2019,"' Eve doesn\\\'t have that diary, Xander has it. We even saw it in his little ""safe"" place.\''","Washington, USA"
Thu May 23 21:43:32 +0000 2019,"'Don\\\'t submit then quit. Apply for jobs like ""SEASONAL LABORER"" at CHS Inc., then look for people you might know at\ ","Oklahoma, USA"
Thu May 23 21:43:32 +0000 2019,Too damn bad your ass on E 13th street\ ,"Cleveland, OH"
Thu May 23 21:43:32 +0000 2019,       Trump go to  s\ ,"Grants Pass, OR"
Thu May 23 21:43:32 +0000 2019," Samesies for Betsy, Ben, Sonny, Steve, Wilbur and all the rest, past or present. What does it say when R\ ","Fort Collins, CO"
Thu May 23 21:43:31 +0000 2019," Oh nice!'""","Atlanta, GA"
Thu May 23 21:43:31 +0000 2019,"Serenity and relaxation'""","North Carolina, USA"
Thu May 23 21:43:31 +0000 2019, It\'s scary to me bc I know so many ppl I graduated high school with (back in 2012) who are already on\ ,"Columbus, OH"
Thu May 23 21:43:31 +0000 2019," I\'ve heard Carolina wren do that.""'","Yonkers, NY"
Thu May 23 21:43:31 +0000 2019," I try to mix ceiling/floor with my ranking and Clarke has the best mix of that among other candidates at 3. He could be really good'""","Portland, OR"
Thu May 23 21:43:31 +0000 2019,#seniorwalk  ,Weslaco East High School
Thu May 23 21:43:31 +0000 2019,"  Except grandchildren and Baron are off limits to financial subpoenas. Love it!'""","Boca Raton, FL"
Thu May 23 21:43:31 +0000 2019,"  You seem to know the most interesting people.'""","Alamo Heights, TX"
Thu May 23 21:43:31 +0000 2019,Thinking about all the recent NYU grads who are moving on from subsidized apartments their parents paid for in the\ ,"Manhattan, NY"
Thu May 23 21:43:31 +0000 2019,Interesting that v*yageLA got half of my write up wrong considering I wrote the entire thing by myself and all they\ ,"Los Angeles, CA"
Thu May 23 21:43:30 +0000 2019,Thank you   ,"Milwaukee, WI"
Thu May 23 21:43:30 +0000 2019,It wasn\ pretty but it got the job done as Scott Elliott beats out an infield hit to give  a 4-3 le\ ,Franklin High School
Thu May 23 21:43:30 +0000 2019,  I think your good heart will get through to enough people.  I don\'t know the local\ ,"Lake Telemark, NJ"
Thu May 23 21:43:30 +0000 2019,   Nobody cares though \,"Knoxville, TN"
Thu May 23 21:43:30 +0000 2019," I hope you dont mean that legal weed shit. Stuff kills ppl bro'""","Portland, TX"
Thu May 23 21:43:30 +0000 2019,That pumpfake no look dime was dumb smooth ,"Georgia, USA"
Thu May 23 21:43:30 +0000 2019,"I\ calling it now, things are going to get ugly this weekend. I have a 6th sense for this type of thing.'""","Austin, TX"
Thu May 23 21:43:30 +0000 2019," Wonder if he will ever get here.'""","Massachusetts, USA"
Thu May 23 21:43:30 +0000 2019," I got it on Groupon. No flex over here'""","Texas, USA"
Thu May 23 21:43:30 +0000 2019,"Thinking about you makes me sick,never lower your standards.'""","Los Angeles, CA"
Thu May 23 21:43:30 +0000 2019,"LOL unfriend man diay, are u scared of me bitch'""","Bakersfield, CA"
Thu May 23 21:43:29 +0000 2019," Slop.'""","Las Cruces, NM"
Thu May 23 21:43:29 +0000 2019,"I \ Pulse puppies. #pulse2019 Thanks for the attitude lifter,  ","San Francisco, CA"
Thu May 23 21:43:29 +0000 2019, Whhhoooaaaaaa. Hold your horses there sir. Now I like ya and voted for ya both times. Let\'s not confuse T\ ,"San Antonio, TX"
Thu May 23 21:43:29 +0000 2019," And the rape charge?'""","Lincoln, NE"
Thu May 23 21:43:29 +0000 2019,Cuzzo\ ,"Westview, FL"
Thu May 23 21:43:29 +0000 2019,"Can you recommend anyone for this job in #Burwell, NE?  #Retail'""","Nebraska, USA"
Thu May 23 21:43:29 +0000 2019,True that! \ ,"Huntersville, NC"
Thu May 23 21:43:29 +0000 2019, Don\'t tell anyone but I\'ve got a major Y2K problem if I ever hit 1000 shows. My custom CMS won\'t be abl\ ,"Bend, OR"
Thu May 23 21:43:29 +0000 2019,"   Was in town. Can confirm it did not'""","Miami, FL"
Thu May 23 21:43:29 +0000 2019,If my grades are good my attendance shouldn\ matter. \,"El Rio, CA"
