Date,Tweet
Date,eet',Country
Sat Apr 27 23:59:59 +0000 2019,"i hope  is having a good day'""","Texas, USA"
Sat Apr 27 23:59:59 +0000 2019, same tbh\\n\\nWe\'ll work on it \,"Richmond, VA"
Sat Apr 27 23:59:59 +0000 2019,The DAMS Jazz Band is at the Hanover Jazz Band Festival! \ ,"East York, PA"
Sat Apr 27 23:59:59 +0000 2019,"Got up at 6 to go to work, was there all morning and afternoon, worked out afterwards, and now that im done with al\ ","Westfield, IN"
Sat Apr 27 23:59:59 +0000 2019,Fun time in Chicago reviewing new items for the NBOME. Even got to experience a late season snowfall!  ,Chicago Marriott O'Hare Pool
Sat Apr 27 23:59:59 +0000 2019,"  No date?'""","Chandler, AZ"
Sat Apr 27 23:59:59 +0000 2019,"Just got off the phone with Alec, my heart is so full \","Ohio, USA"
Sat Apr 27 23:59:59 +0000 2019,"Um, did someone say it was board game night?\\n\\nUM, did someone say it was board game night and we\'re playing Betraya\ ","University, FL"
Sat Apr 27 23:59:59 +0000 2019," dwn'""","Bangor, ME"
Sat Apr 27 23:59:59 +0000 2019,It\ almost showtime!!!! #Friday #TGIF #Motivate #Inspire #GlowUp #TheButterflyEffect \ ,"Baltimore, MD"
Sat Apr 27 23:59:59 +0000 2019,"Just posted a photo @ Verona, New Jersey ","Verona, NJ"
Sat Apr 27 23:59:59 +0000 2019," Maria says hi'""","Ithaca, NY"
Sat Apr 27 23:59:58 +0000 2019," You are young at heart. love you!'""","Nashville, TN"
Sat Apr 27 23:59:58 +0000 2019,  Donny and his sidekick were in  yesterday pumping up the base at the ,"Indianapolis, IN"
Sat Apr 27 23:59:58 +0000 2019,"Fine people... both sides... something like that, right?  ","Casas Adobes, AZ"
Sat Apr 27 23:59:58 +0000 2019," This guy is off his meds'""","East Rockaway, NY"
Sat Apr 27 23:59:58 +0000 2019,This fucked up \ ,"Detroit, MI"
Sat Apr 27 23:59:58 +0000 2019,Thank you     ! ,"Glen Allen, VA"
