Date,Tweet
Date,eet',Country
Tue Apr 30 23:59:59 +0000 2019,"  Now we know why Robotnik was so eager to get rid of Sonic, to prevent this.'""","Washington, DC"
Tue Apr 30 23:59:59 +0000 2019,"  That is so wrong. I went to battle with a New York client last year for about seven months. Bullshit.'""","Louisville, KY"
Tue Apr 30 23:59:59 +0000 2019,T-Rex\ gotta do what \ gotta do #playislearning #stlouissciencecenter #roadtrip #whoworeitbetter @ Saint Louis Sci\ ,"St Louis, MO"
Tue Apr 30 23:59:59 +0000 2019,Yup ! ,"Miami Lakes, FL"
Tue Apr 30 23:59:59 +0000 2019,"  I don\'t believe that, 1st of all our Pres is a Billionaire & the Mueller Team couldn\'t get him for anything.""'","Sacramento, CA"
Tue Apr 30 23:59:59 +0000 2019,I use boozhee \ ,"Sacramento, CA"
Tue Apr 30 23:59:59 +0000 2019,"BREAKING: 2 dead, 4 injured after shooting at University of North Carolina- Charlotte. Police have one suspect in c\ ","Orlando, FL"
Tue Apr 30 23:59:59 +0000 2019,"There is a super weird cult-like following for The Office'""","Alpine, UT"
Tue Apr 30 23:59:59 +0000 2019," I\ down. I need some new tats. The beach sound heavenly.'""","Murfreesboro, TN"
Tue Apr 30 23:59:59 +0000 2019,"Wind 2.0 mph E. Barometer 30.131 in, Falling. Temperature 52.8 \ Rain today 0.20 in. Humidity 93%'""","Wapakoneta, OH"
Tue Apr 30 23:59:59 +0000 2019,"that live action avatar movie was horrible.'""","Delaware, USA"
Tue Apr 30 23:59:58 +0000 2019,Idk you but stay free it\ the only way to be !!!! ,"Houston, TX"
Tue Apr 30 23:59:58 +0000 2019,wow this looks straight up bonkers and I need it.\ ,"Waterford, NY"
Tue Apr 30 23:59:58 +0000 2019,   Jobes in Esther is equally ridiculous. I read it after  quo\ ,"Cambridge, MA"
Tue Apr 30 23:59:58 +0000 2019," la neta, si'""","Austin, TX"
Tue Apr 30 23:59:58 +0000 2019,"This job is now open at Boston Market in #Fresno, CA. Follow us and turn on mobile alerts to hear about jobs like t\ ","Fresno, CA"
Tue Apr 30 23:59:58 +0000 2019,I don\ like to cry abuse but I was emotionally abused by another woman at 17. I loved this woman and thought her g\ ,"Champaign, IL"
Tue Apr 30 23:59:58 +0000 2019,Welcome home  The  frontman received the keys to the #Vegas Strip! Here\ what he had\ ,MGM Grand Garden Arena
Tue Apr 30 23:59:58 +0000 2019," Close it, tight!!!!'""","Costa Mesa, CA"
Tue Apr 30 23:59:58 +0000 2019,"It\ all passin me by .'""","Orange, CA"
Tue Apr 30 23:59:58 +0000 2019,It was one of those days... but we\ just about ready for prom on Friday! Seating chart and bus lists are done \ a\ ,Uxbridge High School
Tue Apr 30 23:59:58 +0000 2019,Get em  ,"Charlotte, NC"
Tue Apr 30 23:59:58 +0000 2019," Actually thought it was a charge at the time.'""","Bellevue, WA"
Tue Apr 30 23:59:58 +0000 2019, On god \,"Jackson, MS"
Tue Apr 30 23:59:57 +0000 2019,"#homeownership  #faultyelectricalwiring @ Suffolk County, New York ","New York, USA"
Tue Apr 30 23:59:57 +0000 2019,"Is there anyway I can stop my period so it doesn\ come the day before prom?'""","Garland, TX"
Tue Apr 30 23:59:57 +0000 2019,Mood. ,"South Miami, FL"
Tue Apr 30 23:59:57 +0000 2019, Lol why not school food is nasty!! Get some healthy choices up in the cafeteria ,"Los Angeles, CA"
Tue Apr 30 23:59:57 +0000 2019,"Client contact walks in: \ hear you\ xyz\ daughter in law, guess you didn\ marry the son studying to be a priest\ Me: \ I did\","Phoenix, AZ"
Tue Apr 30 23:59:57 +0000 2019,"ok her ass is phat but how thicc is her love for the environment?'""","San Francisco, CA"
Tue Apr 30 23:59:57 +0000 2019,10 Months = Assertive x Flirty x Bratty x Comical x Loving..& I could go on! I swear JJ shows us something differen\ ,"Myrtle Beach, SC"
Tue Apr 30 23:59:57 +0000 2019,"Wind 1.0 mph S. Barometer 30.046 in, Falling slowly. Temperature 77.8 \ Rain today 0.00 in. Humidity 65%'""","La Grange, KY"
Tue Apr 30 23:59:57 +0000 2019,"  #IMWITHJOHNNY#GOTIGERS'""","Michigan, USA"
Tue Apr 30 23:59:57 +0000 2019,Apple Tops Earnings Expectations as iPhone Sales Fall 17% in March Quarter  via ,"Manhattan, NY"
Tue Apr 30 23:59:57 +0000 2019,"  Only thing hes lacking is kobes mental toughness...that could still come'""","Laguna Hills, CA"
Tue Apr 30 23:59:57 +0000 2019,"   Great News'""","Grover Beach, CA"
