Date,Tweet
Date,eet',Country
Mon May 06 23:59:59 +0000 2019,Kim siempre tan basic la pendeja ,"Waldorf, MD"
Mon May 06 23:59:59 +0000 2019,Waited 2 hours for the pilots to show up and then we pushed back and the toe bar broke. Currently being inspected t\ ,"Miami, FL"
Mon May 06 23:59:59 +0000 2019," Wait until VC firms put laughter on the blockchain'""","San Francisco, CA"
Mon May 06 23:59:59 +0000 2019,"Why does my heart beat speed up every time I see your success, I get genuinely happy for you. I pray for your happiness everyday.'""","Arlington, TX"
Mon May 06 23:59:59 +0000 2019,"  Do just that, bud. I would be interested where you might find more people committed to m\ ","Andover, MA"
Mon May 06 23:59:59 +0000 2019," Lock him up!  Lock him up.  Better yet, knock him out!'""","Pennsauken, NJ"
Mon May 06 23:59:59 +0000 2019,"Did I just see collard green empanadas? What\ the point'""","Cincinnati, OH"
Mon May 06 23:59:59 +0000 2019,Facts \ ,"Warner Robins, GA"
Mon May 06 23:59:59 +0000 2019,"  Bernie'""","Beaverton, OR"
Mon May 06 23:59:59 +0000 2019,"It\ a handful a hoes that I know don\ trust me no'""","Laurel, MD"
Mon May 06 23:59:59 +0000 2019,"#StarbucksCup aside, that was a damn great episode of #GameOfThrones The dialogue was superb, the heart breaking de\ ","Omaha, NE"
Mon May 06 23:59:59 +0000 2019," Congrats boys'""","Washington, MO"
Mon May 06 23:59:59 +0000 2019, Is the Red Bull strong or does it taste like juice?\,"Jackson, MS"
Mon May 06 23:59:59 +0000 2019,Waging off all this Drag filth in  preparation  for the filth to come at The \ Cock tonight! At 11pm with\ ,"Manhattan, NY"
Mon May 06 23:59:59 +0000 2019,"   THANK YOU CORINNE'""","Georgia, USA"
Mon May 06 23:59:59 +0000 2019,"BURY THEM'""","Wauwatosa, WI"
Mon May 06 23:59:59 +0000 2019,Ugh! Is it only me or does anyone else get daily Christ following \ requests from Africa or India who all se\ ,"Texas, USA"
Mon May 06 23:59:59 +0000 2019,"  yea'""","Suffolk, VA"
Mon May 06 23:59:58 +0000 2019,Maggie wouldn\ let me buy these so I want the world to know what happened. \  ,"Pennsylvania, USA"
Mon May 06 23:59:58 +0000 2019,what if we kissed\ the bleachers\ but instead of you kissing me\ you shot me in the head\,"Alsip, IL"
Mon May 06 23:59:58 +0000 2019,"Wind 0.0 mph ---. Barometer 30.045 in, Rising slowly. Temperature 73.8 \ Rain today 0.00 in. Humidity 54%'""","La Grange, KY"
Mon May 06 23:59:58 +0000 2019,"' Trump calling ""his"" economy ""blue collar middle class"" is right out of a Superman Bizarro comic book. T\ ","Philadelphia, PA"
Mon May 06 23:59:58 +0000 2019,"  Reek'""","West Chester, PA"
Mon May 06 23:59:58 +0000 2019,QUEEN ,"Winthrop, MA"
Mon May 06 23:59:58 +0000 2019," Bro deadass \ i hopped off a 9 hour flight and by the time i was ready niggas was already wildlin'""","Bridgeport, CT"
Mon May 06 23:59:58 +0000 2019,"middleton...'""","Maryland, USA"
Mon May 06 23:59:58 +0000 2019,ONLY MY BROTHERS ......\ ,"Cornelius, NC"
Mon May 06 23:59:58 +0000 2019,Monday\ are only good because of boxing \,"Nutley, NJ"
Mon May 06 23:59:58 +0000 2019,"HighPointe Assisted Living and Memory Care is hiring in #Denver, CO! Read about our latest #HealthWelfare job openi\ ","Denver, CO"
Mon May 06 23:59:58 +0000 2019,"'Bumper sticker on a NYC yellow cab:  ""Your choices behind the wheel matter"".  Do cab drivers in #Boston even know w\ ",New York City
