Date,Tweet,Country
Mon May 20 10:19:50 +0000 2019," Looks like I\'m still following.""'","San Antonio, TX"
Mon May 20 10:19:48 +0000 2019,"There\ a story behind every person. There\ a reason why they\ the way they are. Think about that before you judge someone.'""","Houston, TX"
Mon May 20 10:19:44 +0000 2019,"Maybe the HBO executives should have read one of the GOT books before hiring \ for the season finally.  #iamup'""","Dallas, TX"
Mon May 20 10:19:34 +0000 2019,"Oh she\ done'""","Houston, TX"
Mon May 20 10:19:17 +0000 2019,"Forever my greatest love.'""","Corpus Christi, TX"
Mon May 20 10:18:58 +0000 2019,"   Exactly. All I\ saying is if you scratch their eyes out, they can\ say th\ ","San Marcos, TX"
Mon May 20 10:18:58 +0000 2019,Bro my bestfriend returns tomorrow and then Friday I\ reunited w three of my best friends and my family in Austin \,"Laredo, TX"
Mon May 20 10:18:53 +0000 2019,"Yo la veo que ella( ) se esta haciendo la Vistima, se hace la vistima.. VIS-TI-MA #FueraJOH ","Shenandoah, TX"
Mon May 20 10:18:41 +0000 2019,"It seems like god making me pay for all the things I did'""","Tyler, TX"
Mon May 20 10:18:35 +0000 2019,"Damn just out here thinking about how heartbroken I was a few months ago and how fast time flies'""","El Paso, TX"
Mon May 20 10:18:32 +0000 2019," Because you are!'""","Dallas, TX"
Mon May 20 10:18:21 +0000 2019,"Nadia Rodriquez, bass player for Las F\ from Houston, TX. \\nVisit Nadia on Social Media:\\nFacebook -\ ","Texas, USA"
Mon May 20 10:18:13 +0000 2019,Whole the fuck up! John Snow!  We just killing everyone this last season \ ,"Houston, TX"
Mon May 20 10:18:04 +0000 2019," Girl tv shows and Adam are more reliable anyway \ #menaretrashleavethecity #MATLTC'""","Pearland, TX"
Mon May 20 10:17:59 +0000 2019,"Day 15 #Ramadan 2019'""","El Paso, TX"
Mon May 20 10:17:56 +0000 2019,"Took My Last 30 Shams Bought A Gram & Got Back In It'""","Texas, USA"
Mon May 20 10:17:50 +0000 2019,"Up so early for work, ahh where\ the coffee \","Corpus Christi, TX"
Mon May 20 10:17:41 +0000 2019,"Just realized I haven\'t opened by Spotify app since Ramadan started""'","Sugar Land, TX"
Mon May 20 10:17:38 +0000 2019,"How can anyone who supports the death penalty call themselves pro-life?!'""","Dallas, TX"
Mon May 20 10:17:38 +0000 2019,"Nadia Rodriquez, bass player for Las F\ from Houston, TX. \\nVisit Nadia on Social Media:\\nFacebook -\ ","Texas, USA"
Mon May 20 10:17:36 +0000 2019,Getting a sufficient amount of sleep is the best pre-workout and it\ one of the best ways to recover from a workou\ ,"El Paso, TX"
Mon May 20 10:17:35 +0000 2019,USED TO??!? Biiiiii you\ STILL fine wym \ ,"San Antonio, TX"
Mon May 20 10:17:17 +0000 2019, i would order teriyaki chicken w/ no teriyaki sauce all the time when i was little \,"New Braunfels, TX"
